Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,13.5,771745007,1462631006208,
PC JEWELLER LTD,PCJEWELLER.NS,9.8,153617195,95462629376,🚀 New!
ARDEE.NS,ARDEE.NS,67.12,130252834,0,🚀 New!
VEDANTA OIL AND GAS LTD,VOGL.NS,38.4,71759762,149919580160,🚀 New!
YES BANK LIMITED,YESBANK.NS,22.98,68213047,721291313152,🚀 New!
VEDANTA IRON AND STEEL L,VISL.NS,39.08,65080690,152817975296,🚀 New!
ALLCARGO LOGISTICS LTD,ALLCARGO.NS,10.62,63571614,15906406400,
SYNCOM FORMU (I) LTD,SYNCOMF.NS,15.88,58632414,14927200256,🚀 New!
SUMEET IND LIMITED,SUMEETINDS.NS,14.82,56876350,10296193024,🚀 New!
PUNJAB NATIONAL BANK,PNB.NS,118.98,51232092,1367430397952,🚀 New!
ZEE ENTERTAINMENT ENT LTD,ZEEL.NS,97.52,45406992,93669851136,🚀 New!
SBC EXPORTS LIMITED,SBC.NS,40.19,43595832,19138076672,🚀 New!
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.15,42856090,784313792,
SUZLON ENERGY LIMITED,SUZLON.NS,47.35,41753938,650862723072,🚀 New!
OLA ELECTRIC MOBILITY LTD,OLAELEC.NS,39.86,40398369,176128622592,🚀 New!
TATA STEEL LIMITED,TATASTEEL.NS,186.2,36477300,2322717474816,🚀 New!
KWALITY WALL'S (INDIA) L,KWIL.NS,36.4,33503623,85525127168,🚀 New!
ELECTRONICS MART IND LTD,EMIL.NS,193.61,31604187,74491207680,
SEPC LIMITED,SEPC.NS,6.03,31289199,11731445760,🚀 New!
MOTISONS JEWELLERS LTD,MOTISONS.NS,13.6,27928421,15470089216,🚀 New!
BANK OF MAHARASHTRA,MAHABANK.NS,81.87,26566416,629707636736,🚀 New!
CANARA BANK,CANBK.NS,132.0,26528134,1197325942784,
BILLIONBRAINS GARAGE VN L,GROWW.NS,197.28,25315625,1221474254848,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,17.73,24893102,121511821312,
VEDANTA POWER LIMITED,VEDPOWER.NS,36.75,22872389,143477719040,🚀 New!
UNION BANK OF INDIA,UNIONBANK.NS,187.0,22002118,1427484311552,🚀 New!
INDIABULLS LIMITED,IBULLSLTD.NS,27.45,21449522,61447966720,
GTL INFRA.LTD,GTLINFRA.NS,1.23,21414860,15755207680,
FINEOTEX CHEMICAL LIMITED,FCL.NS,42.65,20019248,49665961984,
PINE LABS LIMITED,PINELABS.NS,169.93,19957845,196075094016,🚀 New!
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,6.47,19900805,23530440704,
GANGA FORGING LIMITED,GANGAFORGE.NS,2.4,18650121,407280672,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,104.55,18608821,1103940943872,
NMDC LTD.,NMDC.NS,85.9,18246074,755217137664,🚀 New!
HINDUSTAN CONSTRUCTION CO,HCC.NS,20.04,18170830,52494143488,
UJJIVAN SMALL FINANC BANK,UJJIVANSFB.NS,72.38,18055935,141035356160,🚀 New!
STEEL AUTHORITY OF INDIA,SAIL.NS,174.0,18037643,718711357440,🚀 New!
ALLCARGO GLOBAL LIMITED,AGL.NS,14.59,17444647,14338790400,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,85.8,16617330,739700703232,
AVENUESAI LIMITED,CCAVENUE.NS,16.05,15819512,55870361600,
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON.NS,169.5,15745045,1785043615744,🚀 New!
RELIANCE POWER LTD.,RPOWER.NS,23.38,15258510,0,🚀 New!
A B INFRABUILD LIMITED,ABINFRA.NS,11.1,15219259,7090562560,
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.72,14611337,930533952,
ROLEX RINGS LIMITED,ROLEXRINGS.NS,173.01,14358344,45386252288,🚀 New!
IFCI LTD,IFCI.NS,73.51,14267389,198059048960,
ATAL REALTECH LIMITED,ATALREAL.NS,35.34,13304179,4378493440,
MOREPEN LAB. LTD,MOREPENLAB.NS,73.46,13257641,40252682240,🚀 New!
SAGILITY LIMITED,SAGILITY.NS,43.31,12080535,202748346368,🚀 New!
RHETAN TMT LIMITED,RHETAN.NS,26.17,11995382,20854218752,🚀 New!
INTEGRA ESSENTIA LIMITED,ESSENTIA.NS,1.39,11778306,2439843584,
NBCC (INDIA) LIMITED,NBCC.NS,92.17,11469410,248859000832,🚀 New!
VISHAL MEGA MART LIMITED,VMM.NS,108.0,11425452,505905315840,🚀 New!
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.18,10589900,1500133120,
ASHOK LEYLAND LTD,ASHOKLEY.NS,176.7,10585271,0,
INDIAN OIL CORP LTD,IOC.NS,140.6,10101455,0,
MRPL,MRPL.NS,175.38,10071978,307370786816,🚀 New!
MOTHERSON SUMI WRNG IND L,MSUMI.NS,41.04,9091421,272163422208,🚀 New!
GAIL (INDIA) LTD,GAIL.NS,177.95,8974254,1170035310592,
BANK OF INDIA,BANKINDIA.NS,145.5,8940843,662413115392,
CENTRAL BANK OF INDIA,CENTRALBK.NS,31.28,8873822,283127840768,
IRB INFRA DEV LTD.,IRB.NS,19.33,8866478,233467740160,
RICO AUTO INDUSTRIES LTD,RICOAUTO.NS,127.99,8761094,17315125248,🚀 New!
TOURISM FINANCE CORP. OF,TFCILTD.NS,115.13,8760162,53302571008,🚀 New!
RATTANINDIA POWER LIMITED,RTNPOWER.NS,8.45,8673296,45377392640,🚀 New!
WIPRO LTD,WIPRO.NS,183.94,8619298,1819599044608,🚀 New!
YATRA ONLINE LIMITED,YATRA.NS,118.99,8461892,18671458304,🚀 New!
MEESHO LIMITED,MEESHO.NS,191.89,8381908,887216734208,🚀 New!
INOX WIND LIMITED,INOXWIND.NS,74.0,8281285,127889596416,
GUJ IND POW CO. LTD,GIPCL.NS,174.05,8113552,27015333888,
LLOYDS ENGG WORK LIMITED,LLOYDSENGG.NS,92.41,7923859,136641601536,🚀 New!
ASIAN GRANITO IND. LTD.,ASIANTILES.NS,53.12,7716636,15748767744,
JINDAL WORLDWIDE LTD,JINDWORLD.NS,36.74,7685996,36835598336,
VIKRAN ENGINEERING LTD,VIKRAN.NS,66.12,7665380,17053077504,🚀 New!
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,17.87,7405609,42133639168,
NHPC LTD,NHPC.NS,76.85,7286270,771960864768,🚀 New!
BANDHAN BANK LIMITED,BANDHANBNK.NS,176.0,7046525,283555627008,
SAMMAAN CAPITAL LIMITED,SAMMAANCAP.NS,160.79,6698073,184697356288,🚀 New!
THE SOUTH INDIAN BANK LTD,SOUTHBANK.NS,46.22,6627719,121012568064,🚀 New!
EMPOWER INDIA LTD.,EMPOWER.NS,2.3,6623232,0,
