Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,9.97,3236133325,1080180080640,
YES BANK LIMITED,YESBANK.NS,22.77,81215640,714720149504,
ARIHANT CAPITAL MKTS LTD,ARIHANTCAP.NS,107.37,77967338,11247130624,
THE SOUTH INDIAN BANK LTD,SOUTHBANK.NS,38.18,64794499,99907510272,
ADANI POWER LTD,ADANIPOWER.NS,162.96,51597553,3142633914368,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.5,41528427,4248742912,
SAGILITY LIMITED,SAGILITY.NS,48.48,39407256,226950807552,
UJJIVAN SMALL FINANC BANK,UJJIVANSFB.NS,54.0,37837713,104623054848,
UTKARSH SMALL FIN BANK L,UTKARSHBNK.NS,20.52,33306939,26624485376,
IRB INFRA DEV LTD.,IRB.NS,44.63,32048361,269520584704,
PC JEWELLER LTD,PCJEWELLER.NS,11.66,32048260,85429772288,
CANARA BANK,CANBK.NS,129.13,30456663,1171293208576,
VAKRANGEE LIMITED,VAKRANGEE.NS,9.14,28112238,9900372992,
GTL INFRA.LTD,GTLINFRA.NS,1.46,27135623,18701303808,
BANK OF INDIA,BANKINDIA.NS,139.71,26490570,636053225472,
SAMMAAN CAPITAL LIMITED,SAMMAANCAP.NS,188.63,25366172,154075398144,
SUZLON ENERGY LIMITED,SUZLON.NS,53.71,24697581,736361971712,
TATA STEEL LIMITED,TATASTEEL.NS,176.66,23827675,2203276804096,
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.65,22792575,814304640,
DHANI SERVICES LIMITED,DHANI.NS,51.06,22215945,32101570560,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,78.03,20554333,636097134592,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.42,20228420,2245989376,
RELIANCE POWER LTD.,RPOWER.NS,44.63,18881908,184579457024,
BANK OF MAHARASHTRA,MAHABANK.NS,58.89,18748339,453263327232,
RATTANINDIA POWER LIMITED,RTNPOWER.NS,11.17,17930721,59984080896,
UTKARSH SMALL FIN BANK L,UTKAR-RE.NS,3.41,17765386,0,
PUNJAB NATIONAL BANK,PNB.NS,119.63,17701374,1374900715520,
INDIAN OIL CORP LTD,IOC.NS,155.2,16797273,2191616114688,
ASHOK LEYLAND LTD,ASHOKLEY.NS,140.81,16785635,827097415680,
JAYASWAL NECO INDUSTR LTD,JAYNECOIND.NS,79.02,16710056,76738019328,
OLA ELECTRIC MOBILITY LTD,OLAELEC.NS,51.68,15650278,216844419072,
EDELWEISS FIN SERV LTD,EDELWEISS.NS,120.23,15278181,113748443136,
ESSAR SHIPPING LTD,ESSARSHPNG.NS,37.04,14397212,7666393600,
NMDC LTD.,NMDC.NS,74.37,13488529,654023786496,
MRPL,MRPL.NS,149.72,13230521,262399098880,
STEEL AUTHORITY OF INDIA,SAIL.NS,129.9,12652228,536555192320,
VIKRAN ENGINEERING LTD,VIKRAN.NS,102.81,12019355,26515830784,
JAI CORP LIMITED,JAICORPLTD.NS,164.97,11821915,29022861312,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,17.9,11769885,122745217024,
