Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,10.29,498685530,1114849804288,
GTL INFRA.LTD,GTLINFRA.NS,1.13,116203951,14474296320,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.21,109431556,1808493696,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,71.78,60508855,617249964032,
KWALITY WALL'S (INDIA) L,KWIL.NS,28.01,45286520,65812054016,🚀 New!
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,14.47,41330363,99227271168,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,7.99,34296016,29058457600,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.17,32378412,935672640,
INDIAN OIL CORP LTD,IOC.NS,179.11,31452791,2529254965248,
HINDUSTAN CONSTRUCTION CO,HCC.NS,16.71,28732273,43771310080,
CANARA BANK,CANBK.NS,153.56,28204677,1392889167872,
INDIAN RAILWAY FIN CORP L,IRFC.NS,99.34,27728321,1298225299456,
IDBI BANK LIMITED,IDBI.NS,114.79,27162270,1234388123648,
ADANI POWER LTD,ADANIPOWER.NS,137.97,26697236,2660895293440,
BILLIONBRAINS GARAGE VN L,GROWW.NS,161.04,26154831,994195996672,
HFCL LIMITED,HFCL.NS,67.5,20257415,103287652352,
JYOTI STRUCTURES LTD,JYOTISTRUC.NS,11.76,18706307,14037440512,
IFCI LTD,IFCI.NS,56.34,18419963,152027234304,
GAIL (INDIA) LTD,GAIL.NS,165.07,17265516,1085348380672,
CENTRAL BANK OF INDIA,CENTRALBK.NS,38.74,16930612,350838816768,
DISH TV INDIA LTD.,DISHTV.NS,2.68,14229738,4946964992,
AVENUESAI LIMITED,CCAVENUE.NS,16.17,13907687,56288088064,
J & K BANK LTD.,J&KBANK.NS,119.93,12934927,132064813056,
INDIAN RENEWABLE ENERGY,IREDA.NS,115.93,12591076,325674205184,
BHARAT COKING COAL LTD,BHARATCOAL.NS,32.14,12531575,0,
INOX WIND LIMITED,INOXWIND.NS,89.19,12079789,154228883456,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,96.49,11995771,1018835566592,
BANK OF INDIA,BANKINDIA.NS,172.3,11168657,784424632320,
IRB INFRA DEV LTD.,IRB.NS,39.94,10518365,241197662208,
INDIAN OVERSEAS BANK,IOB.NS,35.2,10111717,678207225856,
AURI GROW INDIA LIMITED,AURIGROW.NS,0.25,9845177,166560000,
BAJAJ HOUSING FINANCE LTD,BAJAJHFL.NS,85.28,9210476,710268289024,
BELRISE INDUSTRIES LTD,BELRISE.NS,187.7,9058146,167030325248,
ALLCARGO LOGISTICS LTD,ALLCARGO.NS,8.05,8465298,12068699136,
BANDHAN BANK LIMITED,BANDHANBNK.NS,177.66,8390876,286205181952,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,15.61,8026655,19438278656,
EXCEL REALTY N INFRA LTD,EXCEL.NS,1.0,7576122,1420917504,
JAIPRAKASH ASSOCIATES LTD,JPASSOCIAT.NS,2.73,7281122,6905232896,
ADITYA BIRLA LIFES BRAN L,ABLBL.NS,100.81,6929030,122604969984,
INDIAN ENERGY EXC LTD,IEX.NS,121.52,6617259,108067766272,
EDELWEISS FIN SERV LTD,EDELWEISS.NS,112.59,6409452,106652180480,
