Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,9.61,1075464880,1041176526848,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.47,84426039,4342776832,
GTL INFRA.LTD,GTLINFRA.NS,1.43,41643931,18833002496,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,81.32,37744566,701041016832,
ADANI POWER LTD,ADANIPOWER.NS,151.69,36644118,3049274736640,
JYOTI STRUCTURES LTD,JYOTISTRUC.NS,11.25,28662613,15698456576,
CANARA BANK,CANBK.NS,140.8,27498022,1277147742208,
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.62,21728603,832631552,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,17.65,18014512,123779850240,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,95.7,17206733,1010493947904,
BANDHAN BANK LIMITED,BANDHANBNK.NS,153.95,16575533,252591341568,
IDBI BANK LIMITED,IDBI.NS,100.3,16271068,1112295604224,
BANK OF INDIA,BANKINDIA.NS,144.65,15852911,658543345664,
GUJARAT PIPAVAV PORT LTD,GPPL.NS,179.25,15453386,86656606208,
DCB BANK LIMITED,DCBBANK.NS,172.89,14920030,55620837376,
FINEOTEX CHEMICAL LIMITED,FCL.NS,26.43,14905846,34234048512,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.52,12825789,2718954240,
INDIAN OIL CORP LTD,IOC.NS,168.9,12104934,2385077075968,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,8.05,10946087,29276669952,
AURI GROW INDIA LIMITED,AURIGROW.NS,0.53,10542827,380269248,
HINDUSTAN CONSTRUCTION CO,HCC.NS,26.3,10215271,51944484864,
BRIGHTCOM GROUP LIMITED,BCG.NS,13.1,10200077,27410790400,
INDIAN OVERSEAS BANK,IOB.NS,39.6,10168806,771806461952,
INFIBEAM AVENUES LIMITED,INFIBEAM.NS,18.25,9673335,63002255360,
CENTRAL BANK OF INDIA,CENTRALBK.NS,38.92,9470165,357072863232,
INDIAN ENERGY EXC LTD,IEX.NS,139.1,8004546,123826298880,
EMBASSY DEVELOPMENTS LTD,EMBDL.NS,86.7,7990479,128286089216,
JAYASWAL NECO INDUSTR LTD,JAYNECOIND.NS,73.79,7688732,75486445568,
BAJAJ HOUSING FINANCE LTD,BAJAJHFL.NS,109.42,7680492,917225340928,
HFCL LIMITED,HFCL.NS,74.85,7558179,107939332096,
ADITYA BIRLA FASHION & RT,ABFRL.NS,79.51,6391113,99054641152,
IRB INFRA DEV LTD.,IRB.NS,44.48,6311148,270546747392,
JINDAL SAW LIMITED,JINDALSAW.NS,165.06,6052917,112075366400,
INDIAN RAILWAY FIN CORP L,IRFC.NS,121.6,5976333,1614533361664,
GAIL (INDIA) LTD,GAIL.NS,180.8,5863620,1204122288128,
IFCI LTD,IFCI.NS,54.27,5729090,156439429120,
EXXARO TILES LIMITED,EXXARO.NS,9.46,5617892,4232505088,
INDIAN RENEWABLE ENERGY,IREDA.NS,149.88,5338117,428320161792,
ORIENT GREEN POWER CO LTD,GREENPOWER.NS,13.89,5278298,16493257728,
EXCEL REALTY N INFRA LTD,EXCEL.NS,1.57,5150456,2214791168,
BLISS GVS PHARMA LTD,BLISSGVS.NS,127.7,5121107,16525003776,
INOX WIND LIMITED,INOXWIND.NS,149.15,5016475,267511611392,
DEVYANI INTERNATIONAL LTD,DEVYANI.NS,147.65,4956314,198957842432,
ASHOK LEYLAND LTD,ASHOKLEY.NS,141.32,4888203,831092031488,
EDELWEISS FIN SERV LTD,EDELWEISS.NS,109.71,4764174,107210448896,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,21.05,4383664,28134414336,
JM FINANCIAL LIMITED,JMFINANCIL.NS,159.09,4224242,157075521536,
HARDWYN INDIA LIMITED,HARDWYN.NS,15.76,4189582,7697720832,
BELRISE INDUSTRIES LTD,BELRISE.NS,149.5,4073475,133756485632,
ALLCARGO LOGISTICS LTD,ALLCARGO.NS,35.18,3810064,34574274560,
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,3.8,3459501,5491014144,
EQUITAS SMALL FIN BNK LTD,EQUITASBNK.NS,60.61,3255454,69131526144,
ALOK INDUSTRIES LIMITED,ALOKINDS.NS,17.15,3073368,86595477504,
GMR POW AND URBAN INFRA L,GMRP&UI.NS,118.99,2950656,85058363392,
ATAL REALTECH LIMITED,ATALREAL.NS,24.75,2742556,3180647424,
