Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,6.72,281800373,728064917504,
JAYASWAL NECO INDUSTR LTD,JAYNECOIND.NS,52.71,43899146,51181305856,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,18.94,37336664,129872535552,
LOTUSDEV.NS,LOTUSDEV.NS,197.8,35916147,96669605888,
BRIGHTCOM GROUP LIMITED,BCG.NS,15.37,35082335,31044939776,
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON.NS,94.12,24234686,993380139008,🚀 New!
GTL INFRA.LTD,GTLINFRA.NS,1.51,23495404,19341742080,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.58,21116548,4833760256,
CESC LTD,CESC.NS,165.84,18184218,223548997632,
INDIAN ENERGY EXC LTD,IEX.NS,133.46,14206953,118679306240,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,69.23,13463523,507829747712,
GAIL (INDIA) LTD,GAIL.NS,169.49,13072062,1114672988160,
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.51,12641582,658797568,
CANARA BANK,CANBK.NS,108.8,12011330,986886766592,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,9.23,11576362,33568122880,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,90.63,11332768,956962111488,
IRB INFRA DEV LTD.,IRB.NS,44.8,11274447,270547206144,
MOREPEN LAB. LTD,MOREPENLAB.NS,49.79,11243498,28913350656,🚀 New!
ASHOK LEYLAND LTD,ASHOKLEY.NS,119.81,10726038,710469681152,
LAXMIINDIA.NS,LAXMIINDIA.NS,148.62,9904166,7768055296,
INDIAN RAILWAY FIN CORP L,IRFC.NS,127.25,9595958,1662966562816,
ALOK INDUSTRIES LIMITED,ALOKINDS.NS,18.07,8579168,89964740608,
BANK OF INDIA,BANKINDIA.NS,111.91,8565389,509489348608,
INDIAN OIL CORP LTD,IOC.NS,141.67,8364295,2000550363136,
BELRISE INDUSTRIES LTD,BELRISE.NS,137.02,7918868,121931218944,
MAGELLANIC CLOUD LIMITED,MCLOUD.NS,90.55,6905000,53025628160,
INFIBEAM AVENUES LIMITED,INFIBEAM.NS,15.29,6776745,48933044224,
INDIAN RENEWABLE ENERGY,IREDA.NS,144.57,6731539,406243180544,
BANK OF MAHARASHTRA,MAHABANK.NS,53.57,6726613,412112945152,
HFCL LIMITED,HFCL.NS,73.96,6680118,108339560448,
FEDERAL BANK LTD,FEDERALBNK.NS,198.63,6357783,488125300736,
DHANI SERVICES LIMITED,DHANI.NS,64.12,6304173,37399724032,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,22.72,5703930,29350150144,
IFCI LTD,IFCI.NS,54.54,5679351,151018536960,
IDBI BANK LIMITED,IDBI.NS,89.49,5672672,974367031296,
JAIPRAKASH ASSOCIATES LTD,JPASSOCIAT.NS,3.66,5664406,8983835648,
IRCON INTERNATIONAL LTD,IRCON.NS,167.71,5304377,157733945344,
ELECTROSTEEL CASTINGS LTD,ELECTCAST.NS,102.17,5242217,64466104320,
JAIN IRRIGATION SYSTEMS,JISLJALEQS.NS,46.86,5180584,35103059968,
DILIGENT MEDIA CORP LTD.,DNAMEDIA.NS,5.47,5020997,643862720,
ADITYA BIRLA FASHION & RT,ABFRL.NS,76.12,4767043,92560400384,
BAJAJ HOUSING FINANCE LTD,BAJAJHFL.NS,113.03,4736518,941803241472,
INDIAN OVERSEAS BANK,IOB.NS,36.14,4535469,696125095936,
INOX WIND LIMITED,INOXWIND.NS,145.64,4364926,239947726848,
CENTRAL BANK OF INDIA,CENTRALBK.NS,35.33,4338596,319785992192,
IOL CHEM AND PHARMA LTD,IOLCP.NS,97.99,4312270,28777897984,
HINDUSTAN CONSTRUC,HCC.NS,25.99,4304016,48235102208,
MOTHERSON SUMI WRNG IND L,MSUMI.NS,38.28,4276948,253859938304,🚀 New!
JYOTI STRUCTURES LTD,JYOTISTRUC.NS,16.65,4179662,19833313280,
APOLLO MICRO SYSTEMS LTD,APOLLO.NS,179.19,4172625,59765600256,
BANDHAN BANK LIMITED,BANDHANBNK.NS,166.13,4100684,267630444544,
LLOYDS ENGG WORK LIMITED,LLOYDSENGG.NS,68.94,4060660,117082873856,
EMBASSY DEVELOPMENTS LTD,EMBDL.NS,98.73,3933386,134791143424,
COFFEE DAY ENTERPRISE LTD,COFFEEDAY.NS,35.44,3910656,7486770688,
JTL INDUSTRIES LIMITED,JTLIND.NS,69.86,3846281,27460708352,
CUPID LIMITED,CUPID.NS,167.95,3810952,45137567744,
INOXWI-RE.NS,INOXWI-RE.NS,24.96,3525340,0,
MASTER TRUST LIMITED,MASTERTR.NS,165.32,3285939,20337006592,
EDELWEISS FIN SERV LTD,EDELWEISS.NS,96.93,3268398,91069898752,
MOTISONS JEWELLERS LTD,MOTISONS.NS,18.97,3221400,18675206144,🚀 New!
CAPRI GLOBAL CAPITAL LTD,CGCL.NS,187.88,3197169,180671987712,
KELLTON TECH SOL LTD,KELLTONTEC.NS,25.92,2943782,12812825600,
