Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,12.95,1216050264,1403042267136,
BHARAT COKING COAL LTD,BHARATCOAL.NS,38.41,244668557,0,
GTL INFRA.LTD,GTLINFRA.NS,1.35,62633873,17292300288,
HINDUSTAN CONSTRUCTION CO,HCC.NS,21.41,53822636,56082808832,
CANARA BANK,CANBK.NS,128.07,38342996,1161678422016,
HFCL LIMITED,HFCL.NS,147.89,31303343,226310701056,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,67.65,30329974,582352568320,
INDIAN OIL CORP LTD,IOC.NS,134.48,30318459,1899024089088,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.24,29389462,2000177408,
AURI GROW INDIA LIMITED,AURIGROW.NS,0.31,28194002,206534400,
BILLIONBRAINS GARAGE VN L,GROWW.NS,187.67,26873127,1161973202944,
ASHOK LEYLAND LTD,ASHOKLEY.NS,153.13,23877651,899463380992,
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,3.89,20932817,5562664448,
IFCI LTD,IFCI.NS,63.29,19116749,170523148288,
DIAMOND POWER INFRA LTD,DIACABS.NS,196.45,18799517,103523467264,
INDIAN RAILWAY FIN CORP L,IRFC.NS,98.86,13412380,1291952586752,
AVENUESAI LIMITED,CCAVENUE.NS,13.68,13304275,47620349952,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,7.91,11150651,28767508480,
CUPID LIMITED,CUPID.NS,120.36,11140531,161843363840,
DELTA CORP LIMITED,DELTACORP.NS,69.35,9570609,18569926656,
BANK OF INDIA,BANKINDIA.NS,142.26,8533744,647662469120,
IRB INFRA DEV LTD.,IRB.NS,20.3,8494729,245183397888,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,96.59,7826119,1019891482624,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,17.82,7109503,42015748096,
GAIL (INDIA) LTD,GAIL.NS,162.13,7060938,1066017685504,
ATAL REALTECH LIMITED,ATALREAL.NS,28.71,6493547,3557061120,
INDIAN RENEWABLE ENERGY,IREDA.NS,127.1,6410979,357053300736,
ALOK INDUSTRIES LIMITED,ALOKINDS.NS,13.8,6267481,68520316928,
INOX WIND LIMITED,INOXWIND.NS,95.53,5779447,165098553344,
INDIABULLS LIMITED,IBULLSLTD.NS,19.24,5730048,42970230784,
INDRAPRASTHA GAS LTD,IGL.NS,152.12,5194343,212968226816,
GMR POW AND URBAN INFRA L,GMRP&UI.NS,113.9,5128807,88957894656,
DEVYANI INTERNATIONAL LTD,DEVYANI.NS,118.08,5106891,145585537024,
ALLCARGO LOGISTICS LTD,ALLCARGO.NS,8.8,5045147,13180450816,
BANDHAN BANK LIMITED,BANDHANBNK.NS,194.46,4903213,313278562304,
ORIENT GREEN POWER CO LTD,GREENPOWER.NS,11.38,4619776,13349100544,
FINEOTEX CHEMICAL LIMITED,FCL.NS,25.44,4606609,29624901632,
ITC HOTELS LIMITED,ITCHOTELS.NS,155.48,3887850,323861151744,
JAI BALAJI INDUSTRIES LTD,JAIBALAJI.NS,76.58,3845144,69860220928,
GRM OVERSEAS LIMITED,GRMOVER.NS,170.75,3718298,35434696704,
