Name,Symbol,Price,Volume,MarketCap,New
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,9.5,580343833,34550104064,
VODAFONE IDEA LIMITED,IDEA.NS,11.38,252402621,1232943710208,
OLA ELECTRIC MOBILITY LTD,OLAELEC.NS,27.98,137501056,117459877888,🚀 New!
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.16,96291533,880633024,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.29,48384799,2416881152,
GTL INFRA.LTD,GTLINFRA.NS,1.22,45072265,15627116544,
PUNJAB NATIONAL BANK,PNB.NS,124.82,39925828,1434781351936,🚀 New!
KELLTON TECH SOL LTD,KELLTONTEC.NS,19.9,36577363,10503312384,
KWIL.NS,KWIL.NS,27.95,34309762,65671077888,🚀 New!
IFCI LTD,IFCI.NS,63.36,33096616,170969923584,
HFCL LIMITED,HFCL.NS,72.12,32111080,110357118976,
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,4.27,31932697,6106060800,
IDBI BANK LIMITED,IDBI.NS,113.74,30214472,1223096926208,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,99.8,25511484,1053785849856,
CANARA BANK,CANBK.NS,149.11,24228253,1352524890112,
PC JEWELLER LTD,PCJEWELLER.NS,10.02,23988662,79253323776,🚀 New!
BANK OF MAHARASHTRA,MAHABANK.NS,67.3,22761522,517641666560,🚀 New!
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,83.35,19449761,716622004224,
BILLIONBRAINS GARAGE VN L,GROWW.NS,167.31,18894957,1032904441856,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,14.93,18547395,102381699072,
BHARAT COKING COAL LTD,BHARATCOAL.NS,34.03,17171187,0,
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON.NS,132.66,17054076,1400152391680,🚀 New!
BANK OF INDIA,BANKINDIA.NS,170.21,15316713,774909591552,
NMDC LTD.,NMDC.NS,79.03,14948970,694817325056,🚀 New!
INOX WIND LIMITED,INOXWIND.NS,99.88,14899368,172714196992,
AYE.NS,AYE.NS,134.93,14316747,32990232576,
NBCC (INDIA) LIMITED,NBCC.NS,98.51,12160773,265977004032,🚀 New!
BRIGHTCOM GROUP LIMITED,BCG.NS,12.21,11739521,24669556736,
HINDUSTAN CONSTRUCTION CO,HCC.NS,19.16,11266543,50189008896,
ADANI POWER LTD,ADANIPOWER.NS,144.35,11014109,2783940444160,
NHPC LTD,NHPC.NS,76.71,10223225,770554593280,🚀 New!
MRPL,MRPL.NS,192.9,10089852,338454347776,🚀 New!
INDIAN OVERSEAS BANK,IOB.NS,35.88,9981075,691308986368,
AURI GROW INDIA LIMITED,AURIGROW.NS,0.32,9611415,213196800,
JAMNA AUTO IND LTD,JAMNAAUTO.NS,147.79,9526371,59073306624,
GAIL (INDIA) LTD,GAIL.NS,165.75,8755086,1089819443200,
CENTRAL BANK OF INDIA,CENTRALBK.NS,37.94,8641217,343593811968,
INDIAN RAILWAY FIN CORP L,IRFC.NS,112.99,8149384,1476610490368,
ASIAN GRANITO IND. LTD.,ASIANTILES.NS,71.52,7999075,16621521920,
BARTRONICS INDIA LIMITED,ASMS.NS,11.04,7576550,3376703232,
PHYSICSWALLAH LIMITED,PWL.NS,104.22,7246319,298037149696,🚀 New!
JYOTI STRUCTURES LTD,JYOTISTRUC.NS,11.27,7023474,13452548096,
ALLCARGO LOGISTICS LTD,ALLCARGO.NS,8.9,6878240,13343033344,
IRB INFRA DEV LTD.,IRB.NS,42.61,6721221,257321795584,
JAYASWAL NECO INDUSTR LTD,JAYNECOIND.NS,81.06,6710222,78717714432,
ORCHASP LIMITED,ORCHASP.NS,2.86,5638052,913914048,🚀 New!
AVENUESAI LIMITED,CCAVENUE.NS,18.24,5371502,63493795840,
INDIAN RENEWABLE ENERGY,IREDA.NS,127.03,5251132,356856659968,
INDIAN OIL CORP LTD,IOC.NS,175.81,5247640,2482654937088,
INDOWIND ENERGY LTD,INDOWIND.NS,10.67,5094274,1717893248,
BELRISE INDUSTRIES LTD,BELRISE.NS,187.87,5080222,167181598720,
EDELWEISS FIN SERV LTD,EDELWEISS.NS,121.5,4996269,115092291584,
HSG & URBAN DEV CORPN LTD,HUDCO.NS,193.58,4885874,387527802880,
DELPHI WORLD MONEY LTD,DELPHIFX.NS,13.87,4637154,3422234624,
BAJAJ HOUSING FINANCE LTD,BAJAJHFL.NS,88.74,4549144,739085451264,
KNR CONSTRU LTD.,KNRCON.NS,145.47,4472740,40916221952,
DISH TV INDIA LTD.,DISHTV.NS,3.1,4351603,5722235392,
