Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,14.05,344935684,1522219614208,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,7.24,87174340,26330816512,
ASHOK LEYLAND LTD,ASHOKLEY.NS,161.12,60922152,946395414528,
GTL INFRA.LTD,GTLINFRA.NS,1.42,50771348,18188937216,
INDIAN RAILWAY FIN CORP L,IRFC.NS,91.73,50583456,1198774157312,
CANARA BANK,CANBK.NS,129.27,40856390,1172563165184,
IFCI LTD,IFCI.NS,76.91,36295448,207219720192,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.19,34884453,1583473792,
HINDUSTAN CONSTRUCTION CO,HCC.NS,26.79,33602335,70175547392,
AVENUESAI LIMITED,CCAVENUE.NS,16.05,31481926,55870361600,
BHARAT COKING COAL LTD,BHARATCOAL.NS,40.38,30249878,0,
A B INFRABUILD LIMITED,ABINFRA.NS,11.66,28352554,7448284160,
BILLIONBRAINS GARAGE VN L,GROWW.NS,199.6,23923151,1235838828544,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,108.53,22781007,1145965641728,
CUPID LIMITED,CUPID.NS,183.0,19901724,246072918016,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.17,16445470,888888960,
IDBI BANK LIMITED,IDBI.NS,86.0,15731472,924706603008,
INDIAN OIL CORP LTD,IOC.NS,143.94,14225553,2032611098624,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,79.39,13815035,683923865600,
FEDDERS HOLDING LTD.,FEDDERSHOL.NS,41.8,10224700,0,
FINEOTEX CHEMICAL LIMITED,FCL.NS,41.1,10187204,47860981760,
EMBASSY DEVELOPMENTS LTD,EMBDL.NS,63.63,10126010,88447827968,
GAIL (INDIA) LTD,GAIL.NS,172.91,9844974,1136897032192,
AURI GROW INDIA LIMITED,AURIGROW.NS,0.32,9210344,213196800,
EMPOWER INDIA LTD.,EMPOWER.NS,2.28,8518190,0,
CENTRAL BANK OF INDIA,CENTRALBK.NS,32.22,8437665,291636150272,
IRB INFRA DEV LTD.,IRB.NS,21.14,7986562,255328911360,
IOL CHEM AND PHARMA LTD,IOLCP.NS,133.61,7480723,39218212864,
ANLON HEALTHCARE LIMITED,AHCL.NS,16.37,7009080,8700901376,
BANK OF INDIA,BANKINDIA.NS,144.6,6871342,658315739136,
