Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,10.22,590920708,1107265847296,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.2,165489263,1722375040,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.16,67704794,880633024,
OLA ELECTRIC MOBILITY LTD,OLAELEC.NS,24.39,48253028,102389080064,🚀 New!
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,70.4,33309626,605383098368,
INDIAN OIL CORP LTD,IOC.NS,171.54,32353650,2422357098496,
PC JEWELLER LTD,PCJEWELLER.NS,9.01,30332883,72230928384,🚀 New!
LLOYDS ENTERPRISES LTD,LLOYDSENT.NS,48.89,29267270,74633125888,🚀 New!
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,13.87,26823453,95112798208,
GTL INFRA.LTD,GTLINFRA.NS,1.09,25815135,13961931776,
HFCL LIMITED,HFCL.NS,70.08,25139352,107235532800,
BANK OF MAHARASHTRA,MAHABANK.NS,71.39,25083895,549100093440,🚀 New!
CANARA BANK,CANBK.NS,148.51,24465571,1347082387456,
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON.NS,126.34,23398835,1333448278016,🚀 New!
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,97.98,22734365,1034568531968,
AURI GROW INDIA LIMITED,AURIGROW.NS,0.23,20877891,153235200,
MRPL,MRPL.NS,196.24,20844385,344314576896,🚀 New!
NMDC LTD.,NMDC.NS,78.44,20253921,689630150656,🚀 New!
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,16.8,19700250,20920119296,
PHYSICSWALLAH LIMITED,PWL.NS,82.68,19446709,236439388160,🚀 New!
HINDUSTAN CONSTRUCTION CO,HCC.NS,16.27,18494318,42618744832,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,7.58,18458182,27567347712,
GAIL (INDIA) LTD,GAIL.NS,156.73,18395015,1030512181248,
INDIAN RAILWAY FIN CORP L,IRFC.NS,98.85,16582048,1291821776896,
BILLIONBRAINS GARAGE VN L,GROWW.NS,156.33,16354034,965118394368,
NHPC LTD,NHPC.NS,74.15,15867948,744839315456,🚀 New!
RAMA STEEL TUBES LIMITED,RAMASTEEL.NS,6.19,15744376,10127093760,🚀 New!
PUNJAB NATIONAL BANK,PNB.NS,122.2,14982338,1404664938496,🚀 New!
BHARAT COKING COAL LTD,BHARATCOAL.NS,33.01,13582542,0,
JYOTI STRUCTURES LTD,JYOTISTRUC.NS,11.33,12974453,13524166656,
KWALITY WALL'S (INDIA) L,KWIL.NS,26.95,11998615,63321485312,
IDBI BANK LIMITED,IDBI.NS,110.24,11864465,1185459863552,
AVENUESAI LIMITED,CCAVENUE.NS,15.89,11276899,55313403904,
IFCI LTD,IFCI.NS,54.52,11264853,147116163072,
BANK OF INDIA,BANKINDIA.NS,164.18,11179878,747456954368,
INOX WIND LIMITED,INOXWIND.NS,86.32,10824410,149266022400,
BANDHAN BANK LIMITED,BANDHANBNK.NS,185.03,10780734,298078044160,
NBCC (INDIA) LIMITED,NBCC.NS,86.85,10689241,234495000576,🚀 New!
INDIAN RENEWABLE ENERGY,IREDA.NS,115.65,8973641,324887609344,
ADANI POWER LTD,ADANIPOWER.NS,140.11,8260438,2702167506944,
JAIPRAKASH ASSOCIATES LTD,JPASSOCIAT.NS,2.47,8196647,6247591424,
ADITYA BIRLA LIFES BRAN L,ABLBL.NS,104.04,7473509,126533296128,
