Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,13.49,248752334,1461547565056,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,17.75,217852999,121648898048,
JINDAL WORLDWIDE LTD,JINDWORLD.NS,37.64,100806167,37737938944,
BHANSALI ENG. POLYMERS LT,BEPL.NS,123.44,69958060,30719088640,
CANARA HSBC LIFE INS CO L,CANHLIFE.NS,154.61,41099045,146490638336,
GTL INFRA.LTD,GTLINFRA.NS,1.25,37901551,16011388928,
CANARA BANK,CANBK.NS,127.52,24597696,1156689428480,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.15,23128774,784313792,
AYE FINANCE LIMITED,AYE.NS,189.13,22349996,46252077056,
JAYASWAL NECO INDUSTR LTD,JAYNECOIND.NS,88.13,20557259,85574074368,
FINEOTEX CHEMICAL LIMITED,FCL.NS,40.05,19842883,46638260224,
INDIAN OVERSEAS BANK,IOB.NS,35.25,19114966,678794821632,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,81.66,17638023,703656361984,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,111.48,17515820,1177114640384,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.18,15454048,1500133120,
HINDUSTAN CONSTRUCTION CO,HCC.NS,22.66,14185840,59357147136,
BANK OF INDIA,BANKINDIA.NS,147.1,12649849,669697441792,
ASHOK LEYLAND LTD,ASHOKLEY.NS,153.94,12232689,0,
INDIAN OIL CORP LTD,IOC.NS,143.3,12231480,0,🚀 New!
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,3.39,10595904,4847668736,
AASTHA SPINTEX LIMITED,AASTHA.NS,129.05,10069466,0,
IDBI BANK LIMITED,IDBI.NS,86.63,9807416,931480600576,
J & K BANK LTD.,J&KBANK.NS,186.93,9197440,205844037632,
AWL AGRI BUSINESS LIMITED,AWL.NS,193.93,8433111,250818805760,
IFCI LTD,IFCI.NS,72.87,8410172,196334682112,
CENTRAL BANK OF INDIA,CENTRALBK.NS,32.02,8339537,289825882112,
ATAL REALTECH LIMITED,ATALREAL.NS,30.41,8147534,3767684864,
BHARAT COKING COAL LTD,BHARATCOAL.NS,37.51,7893247,0,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,6.85,6804022,24912443392,
KWALITY WALL'S (INDIA) L,KWIL.NS,33.86,6261842,79557165056,
KCP SUGAR IND CORP LTD.,KCPSUGIND.NS,25.81,5877249,2949632768,
FEDDERS HOLDING LTD.,FEDDERSHOL.NS,51.86,5783956,0,
EXICOM TELE SYSTEMS LTD,EXICOM.NS,176.81,5686218,24590694400,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,17.35,5495099,40907591680,
ANLON HEALTHCARE LIMITED,AHCL.NS,15.37,5460275,8169385472,
INDIAN RAILWAY FIN CORP L,IRFC.NS,88.31,5351213,1154079784960,
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.48,5209822,620355904,
IRB INFRA DEV LTD.,IRB.NS,19.96,5198492,241076879360,
ALLCARGO GLOBAL LIMITED,AGL.NS,13.1,5004611,12874445824,
FINO PAYMENTS BANK LTD,FINOPB.NS,172.8,4927316,14380139520,
GAIL (INDIA) LTD,GAIL.NS,173.99,4646500,1143998119936,
ALOK INDUSTRIES LIMITED,ALOKINDS.NS,12.31,4504974,61122109440,
AVENUESAI LIMITED,CCAVENUE.NS,17.04,4274078,59316576256,
ORIENT GREEN POWER CO LTD,GREENPOWER.NS,10.51,4256410,12328563712,
LEMON TREE HOTELS LTD,LEMONTREE.NS,110.95,4213302,87855489024,
ITC HOTELS LIMITED,ITCHOTELS.NS,164.37,4097024,342378807296,
JSW CEMENT LIMITED,JSWCEMENT.NS,140.97,3996426,189076684800,
EDELWEISS FIN SERV LTD,EDELWEISS.NS,120.71,3831602,114255831040,
