Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,13.13,382591712,1422544076800,
ASIAN GRANITO IND. LTD.,ASIANTILES.NS,53.47,72415572,15852534784,
JINDAL WORLDWIDE LTD,JINDWORLD.NS,37.83,72013112,37928435712,
CANARA BANK,CANBK.NS,125.65,36707413,1139727400960,
FINEOTEX CHEMICAL LIMITED,FCL.NS,39.59,35132241,46102589440,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,16.95,34499547,116166131712,
HFCL LIMITED,HFCL.NS,196.85,31476880,301232422912,🚀 New!
BANDHAN BANK LIMITED,BANDHANBNK.NS,165.93,29573845,267330011136,
HINDUSTAN CONSTRUCTION CO,HCC.NS,21.43,27584478,56135200768,
GTL INFRA.LTD,GTLINFRA.NS,1.22,27420346,15627116544,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.15,21537850,784313792,
FILATEX INDIA LTD,FILATEX.NS,73.83,20387544,32784830464,
MEESHO LIMITED,MEESHO.NS,185.24,20215801,856199987200,
BANK OF MAHARASHTRA,MAHABANK.NS,81.03,18244538,623246704640,
AASTHA SPINTEX LIMITED,AASTHA.NS,102.62,17808701,0,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,80.79,16241008,696159633408,
SRI LOTUS DEVLPRS N RTY L,LOTUSDEV.NS,180.39,13230621,88160870400,
IFCI LTD,IFCI.NS,70.12,12581191,188925329408,
ASHOK LEYLAND LTD,ASHOKLEY.NS,151.07,12275441,887363207168,
INDIAN OIL CORP LTD,IOC.NS,138.47,11898896,1955367878656,
ESAF SMALL FINANCE BANK L,ESAFSFB.NS,38.69,11579624,19964164096,
AVENUESAI LIMITED,CCAVENUE.NS,16.34,10651046,56879861760,
INDIAN ENERGY EXC LTD,IEX.NS,124.26,10630048,110504452096,
INDIABULLS LIMITED,IBULLSLTD.NS,30.53,10183237,68342677504,
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,3.42,9869843,4890568704,
GUJARAT AMBUJA EXPORTS LT,GAEL.NS,151.64,9149504,69552816128,
ATAL REALTECH LIMITED,ATALREAL.NS,31.44,9023182,3895298048,
BHANSALI ENG. POLYMERS LT,BEPL.NS,121.81,8889366,30313449472,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,6.83,8659492,24839706624,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.18,8550771,1500133120,
BHARAT COKING COAL LTD,BHARATCOAL.NS,34.99,8055248,0,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,107.12,7912756,1131077566464,
BANK OF INDIA,BANKINDIA.NS,142.62,7634469,649301458944,
IDBI BANK LIMITED,IDBI.NS,84.93,7499216,913201561600,
CENTRAL BANK OF INDIA,CENTRALBK.NS,31.03,7106021,280864980992,
LLOYDS ENGG WORK LIMITED,LLOYDSENGG.NS,88.42,6558985,126022664192,
INDIAN RAILWAY FIN CORP L,IRFC.NS,87.62,6225235,1145062555648,
INOX WIND LIMITED,INOXWIND.NS,76.97,6147414,133022466048,
IRB INFRA DEV LTD.,IRB.NS,19.61,6003197,236849594368,
GAIL (INDIA) LTD,GAIL.NS,170.02,5814144,1117895000064,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,17.29,5751187,40766124032,
KWALITY WALL'S (INDIA) L,KWIL.NS,32.0,5203519,75186921472,
ELITECON INTERNATIONAL L,ELITECON.NS,15.51,4781581,0,
INDIAN RENEWABLE ENERGY,IREDA.NS,120.48,4771703,338456215552,
JAYASWAL NECO INDUSTR LTD,JAYNECOIND.NS,86.76,4544636,84243808256,
EMPOWER INDIA LTD.,EMPOWER.NS,2.38,3972341,0,
KCP SUGAR IND CORP LTD.,KCPSUGIND.NS,27.85,3946287,3182769408,
KRISHANA PHOSCHEM LIMITED,KRISHANA.NS,162.05,3487208,50095812608,
BAJAJ HOUSING FINANCE LTD,BAJAJHFL.NS,84.19,3385895,701190045696,
BODHI TREE MULTIMEDIA LTD,BTML.NS,6.96,3265103,1264616576,
MAX INDIA LIMITED,MAXIND.NS,182.11,3220459,9575865344,
ALLCARGO LOGISTICS LTD,ALLCARGO.NS,8.06,3185602,12072094720,
ORIENT GREEN POWER CO LTD,GREENPOWER.NS,10.03,3075665,11765507072,
CONFIDENCE PETRO IND LTD.,CONFIPET.NS,78.3,3043521,26014476288,
DEVYANI INTERNATIONAL LTD,DEVYANI.NS,112.3,3026762,138459136000,
LLOYDS ENTERPRISES LTD,LLOYDSENT.NS,78.04,2977664,119132110848,
JYOTI STRUCTURES LTD,JYOTISTRUC.NS,10.97,2954129,13094449152,
INDIAN OVERSEAS BANK,IOB.NS,33.88,2788763,652413304832,
HARDWYN INDIA LIMITED,HARDWYN.NS,15.82,2748432,7727026688,
ALOK INDUSTRIES LIMITED,ALOKINDS.NS,12.07,2737970,59930447872,
ANLON HEALTHCARE LIMITED,AHCL.NS,15.01,2718907,7978040320,
ALLCARGO GLOBAL LIMITED,AGL.NS,12.58,2677229,12363398144,
ITC HOTELS LIMITED,ITCHOTELS.NS,159.92,2483199,333109559296,
GANGA FORGING LIMITED,GANGAFORGE.NS,1.67,2448338,283399456,
LEMON TREE HOTELS LTD,LEMONTREE.NS,109.36,2400372,86596452352,
