Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,10.05,561470415,1090186838016,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,19.65,148592531,134747725824,
BILLIONBRAINS GARAGE VN L,GROWW.NS,161.12,91485666,994689875968,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.4,46410096,3333629184,
GTL INFRA.LTD,GTLINFRA.NS,1.33,34431598,17036119040,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,104.21,27429372,1100729417728,
CANARA BANK,CANBK.NS,148.69,24046767,1348715151360,
ASHOK LEYLAND LTD,ASHOKLEY.NS,145.83,21767621,856584224768,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,79.35,17812663,681861775360,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.39,13982882,2039215744,
BANK OF MAHARASHTRA,MAHABANK.NS,59.61,11630472,458493591552,
IDBI BANK LIMITED,IDBI.NS,101.2,11477055,1088143097856,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,7.13,11320828,25963137024,
ADANI POWER LTD,ADANIPOWER.NS,146.84,10796528,2831764422656,
INFIBEAM AVENUES LIMITED,INFIBEAM.NS,19.23,9908540,66940006400,
INDIAN OIL CORP LTD,IOC.NS,164.12,9609681,2317577617408,
HINDUSTAN CONSTRUCTION CO,HCC.NS,23.45,9350768,42682466304,
INOX WIND LIMITED,INOXWIND.NS,134.7,8498301,232793636864,
FISCHER MEDICAL VENTURE L,FISCHER.NS,45.16,7875148,29313343488,
INDIAN RAILWAY FIN CORP L,IRFC.NS,116.74,7564595,1525617393664,
INDRAPRASTHA GAS LTD,IGL.NS,194.85,6915888,272934223872,
HFCL LIMITED,HFCL.NS,70.71,6407166,101971304448,
BANK OF INDIA,BANKINDIA.NS,147.21,5829529,670198202368,
BRIGHTCOM GROUP LIMITED,BCG.NS,12.9,5802962,26038931456,
GAIL (INDIA) LTD,GAIL.NS,180.22,5775112,1184960872448,
IRB INFRA DEV LTD.,IRB.NS,43.28,5594943,261431361536,
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.59,5509744,787691584,
INDIAN OVERSEAS BANK,IOB.NS,38.84,5373298,747925995520,
JYOTI STRUCTURES LTD,JYOTISTRUC.NS,11.15,5363237,13307177984,
INDIAN RENEWABLE ENERGY,IREDA.NS,141.36,4972810,397246431232,
JAYASWAL NECO INDUSTR LTD,JAYNECOIND.NS,70.35,4971239,68340174848,
EMBASSY DEVELOPMENTS LTD,EMBDL.NS,79.2,4863928,110090641408,
CENTRAL BANK OF INDIA,CENTRALBK.NS,38.34,4697881,347030716416,
INDIAN ENERGY EXC LTD,IEX.NS,140.24,4477132,124715474944,
BANDHAN BANK LIMITED,BANDHANBNK.NS,149.63,4399661,241332011008,
IFCI LTD,IFCI.NS,50.28,4279853,135495188480,
KAMDHENU VENTURES LIMITED,KAMOPAINTS.NS,6.96,3972753,2195605504,
JM FINANCIAL LIMITED,JMFINANCIL.NS,139.9,3748775,133791383552,
JET FREIGHT LOGISTICS LTD,JETFREIGHT.NS,17.92,3546815,831555840,
HARDWYN INDIA LIMITED,HARDWYN.NS,16.46,3435652,8039624192,
KELLTON TECH SOL LTD,KELLTONTEC.NS,18.88,3394937,9964951552,
JAIN IRRIGATION SYSTEMS,JISLJALEQS.NS,46.0,3378249,33741025280,
EQUITAS SMALL FIN BNK LTD,EQUITASBNK.NS,64.27,3155102,73306095616,
DISH TV INDIA LTD.,DISHTV.NS,4.06,3080560,7490913280,
BAJAJ HOUSING FINANCE LTD,BAJAJHFL.NS,104.96,3033898,874170744832,
EDELWEISS FIN SERV LTD,EDELWEISS.NS,110.69,3000004,104722735104,
FEDBANK FINANCIAL SER L,FEDFINA.NS,144.95,2879070,54221549568,
JAI BALAJI INDUSTRIES LTD,JAIBALAJI.NS,67.03,2805520,61232447488,
BELRISE INDUSTRIES LTD,BELRISE.NS,157.92,2800358,140529713152,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,20.35,2596527,25984286720,
JSW CEMENT LIMITED,JSWCEMENT.NS,116.17,2502519,155006812160,
DCB BANK LIMITED,DCBBANK.NS,181.47,2363486,58395525120,
ALLCARGO LOGISTICS LTD,ALLCARGO.NS,13.27,2313776,13045622784,
DIAMOND POWER INFRA LTD,DIACABS.NS,140.11,2248346,73833914368,
AURI GROW INDIA LIMITED,AURIGROW.NS,0.52,2133421,346444800,
GMR POW AND URBAN INFRA L,GMRP&UI.NS,121.71,2075913,87187824640,
BLISS GVS PHARMA LTD,BLISSGVS.NS,172.42,2067733,18228688896,
HATHWAY CABLE & DATACOM,HATHWAY.NS,13.03,1982199,23064461312,
ORIENT GREEN POWER CO LTD,GREENPOWER.NS,12.86,1953543,15085187072,
LLOYDS ENGG WORK LIMITED,LLOYDSENGG.NS,52.13,1941907,76837666816,
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,3.59,1929346,5133666816,
ALOK INDUSTRIES LIMITED,ALOKINDS.NS,16.6,1904077,82470576128,
ADITYA BIRLA FASHION & RT,ABFRL.NS,75.43,1870709,91738685440,
FINEOTEX CHEMICAL LIMITED,FCL.NS,24.12,1772189,27967162368,
AEROFLEX INDUSTRIES LTD,AEROFLEX.NS,184.37,1662579,23842795520,
DEVYANI INTERNATIONAL LTD,DEVYANI.NS,139.7,1553983,172232261632,
LEMON TREE HOTELS LTD,LEMONTREE.NS,150.0,1523223,118777143296,
J & K BANK LTD.,J&KBANK.NS,105.29,1521949,115943505920,
