Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,8.5,704974762,920915804160,
ADANI POWER LTD,ADANIPOWER.NS,152.9,62859147,2948629790720,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.55,55849683,4750421504,
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.65,40295162,939345536,
CANARA BANK,CANBK.NS,123.62,38038009,1121314013184,
GTL INFRA.LTD,GTLINFRA.NS,1.52,36133937,19469848576,
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,4.03,25285355,5762863104,
INDIAN RENEWABLE ENERGY,IREDA.NS,152.81,21164038,429278625792,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,17.82,18090354,123179655168,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,69.0,18069957,506409058304,
HINDUSTAN CONSTRUCTION CO,HCC.NS,27.5,15836493,50181259264,
AKME FINTRADE (INDIA) LTD,AFIL.NS,9.29,15320388,3964507136,
BANK OF INDIA,BANKINDIA.NS,124.5,14326305,566807101440,
HEMISPHERE PROP IND LTD,HEMIPROP.NS,183.9,13844902,52785393664,
ASHOK LEYLAND LTD,ASHOKLEY.NS,141.01,12432422,831851659264,
EMBASSY DEVELOPMENTS LTD,EMBDL.NS,97.5,12357419,133636325376,
EPACKPEB.NS,EPACKPEB.NS,188.9,10648946,0,
CENTRAL BANK OF INDIA,CENTRALBK.NS,37.65,9485368,340785266688,
INDIAN ENERGY EXC LTD,IEX.NS,141.77,9456965,126068940800,
BANK OF MAHARASHTRA,MAHABANK.NS,55.93,9255205,430188658688,
INFIBEAM AVENUES LIMITED,INFIBEAM.NS,16.46,9190417,51885305856,
INDIAN RAILWAY FIN CORP L,IRFC.NS,125.8,8719692,1644018139136,
BANDHAN BANK LIMITED,BANDHANBNK.NS,163.3,8545960,263071629312,
JAYASWAL NECO INDUSTR LTD,JAYNECOIND.NS,69.25,7780403,67241631744,
INDIAN OIL CORP LTD,IOC.NS,149.65,7653261,2060913999872,
HFCL LIMITED,HFCL.NS,73.62,6804981,106165583872,
BELRISE INDUSTRIES LTD,BELRISE.NS,159.0,6622182,141490782208,
GAIL (INDIA) LTD,GAIL.NS,174.0,6377538,1144063787008,
ADITYA BIRLA FASHION & RT,ABFRL.NS,87.2,6098373,106033782784,
FEDERAL BANK LTD,FEDERALBNK.NS,193.61,5900352,475886878720,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,8.14,5843328,29822736384,
INDIAN OVERSEAS BANK,IOB.NS,39.59,5703185,762368425984,
IDBI BANK LIMITED,IDBI.NS,92.34,5208278,992876822528,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,89.95,5195188,949779890176,
DHANI SERVICES LIMITED,DHANI.NS,63.4,5178474,39303348224,
JAIPRAKASH ASSOCIATES LTD,JPASSOCIAT.NS,3.05,4972641,7609246208,
KAMDHENU LIMITED,KAMDHENU.NS,28.42,4747341,8011115008,
ATAL REALTECH LIMITED,ATALREAL.NS,22.9,4614565,2542243584,
INOX WIND LIMITED,INOXWIND.NS,142.48,4517773,246239313920,
IFCI LTD,IFCI.NS,55.4,4468383,149265006592,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,20.31,4413771,25275387904,
EDELWEISS FIN SERV LTD,EDELWEISS.NS,109.35,4332540,104488845312,
IRB INFRA DEV LTD.,IRB.NS,41.54,3654857,250860060672,
BRIGHTCOM GROUP LIMITED,BCG.NS,14.13,3618697,28866818048,
BAJAJ HOUSING FINANCE LTD,BAJAJHFL.NS,111.55,3480597,929471922176,
IOL CHEM AND PHARMA LTD,IOLCP.NS,107.85,3421704,31656941568,
JM FINANCIAL LIMITED,JMFINANCIL.NS,163.3,3363228,157626941440,
ALOK INDUSTRIES LIMITED,ALOKINDS.NS,17.52,3253987,86991011840,
JSW CEMENT LIMITED,JSWCEMENT.NS,138.3,3015651,192502562816,
JYOTI STRUCTURES LTD,JYOTISTRUC.NS,15.15,2986068,18473582592,
AVANTEL LIMITED,AVANTEL.NS,181.25,2881347,48152227840,
DISH TV INDIA LTD.,DISHTV.NS,4.94,2831310,9353060352,
BOROSIL SCIENTIFIC LTD,BOROSCI.NS,148.07,2801835,13170390016,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.55,2794485,2922961920,
GODHA CABCON INSULAT LTD,GODHA.NS,0.58,2747210,399744000,
SRI LOTUS DEVLPRS N RTY L,LOTUSDEV.NS,191.18,2542370,93434191872,
GK ENERGY LIMITED,GKENERGY.NS,169.0,2516145,34276118528,
JAIN IRRIGATION SYSTEMS,JISLJALEQS.NS,52.24,2441220,37956796416,
ORIENT GREEN POWER CO LTD,GREENPOWER.NS,13.1,2313213,15577861120,
