Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,9.95,645131684,1078013198336,
PC JEWELLER LTD,PCJEWELLER.NS,10.49,96118112,77595000832,
BHARAT COKING COAL LTD,BHARATCOAL.NS,37.18,75408988,0,
GTL INFRA.LTD,GTLINFRA.NS,1.0,60283411,12809111552,
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,4.6,56939296,6577957376,
OLA ELECTRIC MOBILITY LTD,OLAELEC.NS,32.08,54830631,134671663104,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,15.83,52504776,108553396224,
HINDUSTAN CONSTRUCTION CO,HCC.NS,20.21,51832677,52939448320,
MRPL,MRPL.NS,163.97,37214519,287694979072,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.19,35206984,1045751744,
NMDC LTD.,NMDC.NS,81.52,32218030,716708904960,
AURI GROW INDIA LIMITED,AURIGROW.NS,0.5,31548115,333120000,
HFCL LIMITED,HFCL.NS,64.51,30840301,98712395776,
CANARA BANK,CANBK.NS,157.74,28177116,1430804627456,
BILLIONBRAINS GARAGE VN L,GROWW.NS,172.08,27365264,1062352519168,
INDIAN RAILWAY FIN CORP L,IRFC.NS,120.15,23448890,1570181087232,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.29,22333184,2416881152,
MMTC LIMITED,MMTC.NS,67.71,21201176,101655642112,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,93.91,20849461,991593496576,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,82.93,20226477,713010970624,
ASHOK LEYLAND LTD,ASHOKLEY.NS,195.33,20039541,1147340062720,
JYOTI STRUCTURES LTD,JYOTISTRUC.NS,9.88,16635799,11793359872,
INDIAN OIL CORP LTD,IOC.NS,162.85,15785524,2299643822080,
BANK OF INDIA,BANKINDIA.NS,167.34,15111958,761843417088,
ADANI POWER LTD,ADANIPOWER.NS,134.72,14841790,2598215614464,
PUNJAB NATIONAL BANK,PNB.NS,124.5,14499995,1431103078400,
BANDHAN BANK LIMITED,BANDHANBNK.NS,153.35,13730136,247042473984,
BRIGHTCOM GROUP LIMITED,BCG.NS,9.3,12897079,18785767424,
IFCI LTD,IFCI.NS,57.86,12649127,156128788480,
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON.NS,111.43,12127741,1174410100736,
GAIL (INDIA) LTD,GAIL.NS,168.14,11192713,1105533861888,
NBCC (INDIA) LIMITED,NBCC.NS,99.53,11029580,268730990592,
NHPC LTD,NHPC.NS,78.89,10982848,792452792320,
KAMDHENU LIMITED,KAMDHENU.NS,22.03,10820682,6209882624,
INDIAN RENEWABLE ENERGY,IREDA.NS,133.87,10438560,376071782400,
BANK OF MAHARASHTRA,MAHABANK.NS,65.58,9561719,504412176384,
MOTHERSON SUMI WRNG IND L,MSUMI.NS,43.32,8993342,287283609600,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,6.37,8985955,23166754816,
ADITYA BIRLA FASHION & RT,ABFRL.NS,65.31,8479551,79441485824,
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.48,8278654,640833856,
IDBI BANK LIMITED,IDBI.NS,99.67,8259595,1071795929088,
IRB INFRA DEV LTD.,IRB.NS,41.11,7842894,248263294976,
GANGA FORGING LIMITED,GANGAFORGE.NS,3.39,7256427,456979552,
INDIAN ENERGY EXC LTD,IEX.NS,128.71,6872524,114487435264,
KITEX GARMENTS LTD,KITEX.NS,188.22,6563400,37572628480,
ALLCARGO LOGISTICS LTD,ALLCARGO.NS,9.98,6529816,14977311744,
INFIBEAM AVENUES LIMITED,INFIBEAM.NS,15.66,6402553,54704410624,
ALOK INDUSTRIES LIMITED,ALOKINDS.NS,14.97,6167021,74329645056,
JAYASWAL NECO INDUSTR LTD,JAYNECOIND.NS,74.82,6016232,72650088448,
JTL INDUSTRIES LIMITED,JTLIND.NS,74.03,5922199,29099833344,
INOX WIND LIMITED,INOXWIND.NS,109.25,5912181,188916973568,
PATEL ENGINEERING LTD.,PATELENG.NS,28.95,5847355,27683852288,
AVANTEL LIMITED,AVANTEL.NS,143.49,5802601,38091849728,
INDIABULLS LIMITED,IBULLSLTD.NS,11.68,5722873,27128293376,
INDIAN OVERSEAS BANK,IOB.NS,35.25,5596876,679170539520,
BAJAJ HOUSING FINANCE LTD,BAJAJHFL.NS,89.16,5528342,742583566336,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,16.57,5435561,20621033472,
CENTRAL BANK OF INDIA,CENTRALBK.NS,37.14,5297741,336348807168,
IRCON INTERNATIONAL LTD,IRCON.NS,163.74,5228070,154000048128,
DCB BANK LIMITED,DCBBANK.NS,199.5,4923193,64188112896,
PAISALO DIGITAL LIMITED,PAISALO.NS,33.12,4893058,30123362304,
ORIENT GREEN POWER CO LTD,GREENPOWER.NS,10.58,4834917,12421438464,
DEVYANI INTERNATIONAL LTD,DEVYANI.NS,114.42,4778636,141112918016,
LLOYDS ENGG WORK LIMITED,LLOYDSENGG.NS,45.38,4648515,66889551872,
PHYSICSWALLAH LIMITED,PWL.NS,124.92,4517777,357232771072,
EDELWEISS FIN SERV LTD,EDELWEISS.NS,105.38,4306727,99822428160,
JINDAL SAW LIMITED,JINDALSAW.NS,180.91,4187946,115310804992,
MEESHO LIMITED,MEESHO.NS,168.19,4160163,759063511040,
JINDAL WORLDWIDE LTD,JINDWORLD.NS,25.33,3958897,25410291712,
ASIAN GRANITO IND. LTD.,ASIANTILES.NS,71.45,3957591,16605253632,
NMDC STEEL LIMITED,NSLNISP.NS,42.86,3820149,125634150400,
MIRZA INTERNATIONAL LIMIT,MIRZAINT.NS,39.18,3720945,5414750720,
BELRISE INDUSTRIES LTD,BELRISE.NS,160.09,3572456,142460747776,
PIRAMAL PHARMA LIMITED,PPLPHARMA.NS,153.96,3469367,203852136448,
MIC ELECTRONICS LTD,MICEL.NS,38.97,3453615,9400772608,
NTPC GREEN ENERGY LIMITED,NTPCGREEN.NS,93.57,3411574,788451688448,
SRI LOTUS DEVLPRS N RTY L,LOTUSDEV.NS,157.38,3207924,76915343360,
CESC LTD,CESC.NS,142.95,3175898,189490282496,
EVEREST KANTO CYLINDERLTD,EKC.NS,113.68,3096337,12773319680,
PARADEEP PHOSPHATES LTD,PARADEEP.NS,133.29,3053560,138468474880,
ENGINEERS INDIA LTD,ENGINERSIN.NS,173.28,2987226,97468129280,
PTC INDIA LIMITED,PTC.NS,174.64,2959477,51694891008,
LLOYDS ENTERPRISES LTD,LLOYDSENT.NS,58.62,2955852,89486475264,
DISH TV INDIA LTD.,DISHTV.NS,3.41,2895499,6294458880,
NCC LIMITED,NCC.NS,148.16,2681428,93021757440,
MOTISONS JEWELLERS LTD,MOTISONS.NS,11.31,2660397,11179483136,
J & K BANK LTD.,J&KBANK.NS,105.2,2608687,115844390912,
MOSCHIP TECHNOLOGIES LTD,MOSCHIP.NS,187.33,2591182,36127141888,
LEMON TREE HOTELS LTD,LEMONTREE.NS,126.98,2579913,100548812800,
HATHWAY CABLE & DATACOM,HATHWAY.NS,10.66,2506016,18869313536,
DCW LTD,DCW.NS,46.25,2397063,13650919424,
ITC HOTELS LIMITED,ITCHOTELS.NS,180.98,2282318,377161809920,
JM FINANCIAL LIMITED,JMFINANCIL.NS,129.5,2268641,123845492736,
INTEGRA ESSENTIA LIMITED,ESSENTIA.NS,1.37,2240119,1472487552,
EQUITAS SMALL FIN BNK LTD,EQUITASBNK.NS,69.49,2222531,79294316544,
NETWORK18 MEDIA & INV LTD,NETWORK18.NS,37.34,2124019,57671172096,
ATAL REALTECH LIMITED,ATALREAL.NS,26.71,2045715,3286296576,
ARKADE DEVELOPERS LIMITED,ARKADE.NS,113.89,2021823,21145229312,
EXCEL REALTY N INFRA LTD,EXCEL.NS,1.2,1928813,1723427584,
