Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,6.91,355157667,748650102784,
JAYASWAL NECO INDUSTR LTD,JAYNECOIND.NS,52.61,184377153,51124400128,
GTL INFRA.LTD,GTLINFRA.NS,1.54,50828733,19726014464,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,21.0,50436038,143922659328,
CANARA BANK,CANBK.NS,107.25,48185022,972827262976,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.61,44070428,5083782656,
INDIAN ENERGY EXC LTD,IEX.NS,135.3,28311198,120315527168,
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.5,23554933,702870016,
BELRISE INDUSTRIES LTD,BELRISE.NS,138.13,22856298,122918985728,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,68.76,22669986,504382128128,
BRIGHOTEL.NS,BRIGHOTEL.NS,85.32,21105768,0,🚀 New!
BRIGHTCOM GROUP LIMITED,BCG.NS,13.58,20069113,27431327744,
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON.NS,97.17,17245454,1025571028992,
LLOYDS ENTERPRISES LTD,LLOYDSENT.NS,86.65,12656204,110230069248,
INDIAN OIL CORP LTD,IOC.NS,145.62,11956927,2056328970240,
HFCL LIMITED,HFCL.NS,75.57,11830717,108991586304,
INDIAN RAILWAY FIN CORP L,IRFC.NS,128.34,11595851,1677852934144,
ASHOK LEYLAND LTD,ASHOKLEY.NS,121.05,11331311,710932758528,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,90.06,10251673,950943481856,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,9.82,10000578,35785650176,
ALOK INDUSTRIES LIMITED,ALOKINDS.NS,19.0,9232099,94339555328,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.42,8379133,2196079104,
GAIL (INDIA) LTD,GAIL.NS,177.68,7936196,1168453795840,
BANK OF INDIA,BANKINDIA.NS,111.38,7799682,507787018240,
BANDHAN BANK LIMITED,BANDHANBNK.NS,168.08,7715320,270771830784,
EXCEL REALTY N INFRA LTD,EXCEL.NS,1.19,7711253,1722525184,
IRB INFRA DEV LTD.,IRB.NS,45.07,7618599,272177725440,
INDIAN RENEWABLE ENERGY,IREDA.NS,147.38,7201280,414024335360,
DCB BANK LIMITED,DCBBANK.NS,134.57,6726457,42330476544,
EMBASSY DEVELOPMENTS LTD,EMBDL.NS,105.46,6538538,143979266048,
CESC LTD,CESC.NS,169.51,6057028,224697368576,
APOLLO MICRO SYSTEMS LTD,APOLLO.NS,173.66,5783262,57965101056,
IOL CHEM AND PHARMA LTD,IOLCP.NS,103.16,5353453,30280349696,
INOX WIND LIMITED,INOXWIND.NS,150.74,5318616,248509988864,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,23.34,5205342,29797011456,
INFIBEAM AVENUES LIMITED,INFIBEAM.NS,15.67,5066824,50144784384,
CENTRAL BANK OF INDIA,CENTRALBK.NS,36.41,5008512,329561473024,
BANK OF MAHARASHTRA,MAHABANK.NS,56.08,4933000,431342157824,
BLISS GVS PHARMA LTD,BLISSGVS.NS,176.33,4832577,18704910336,
LLOYDS ENGG WORK LIMITED,LLOYDSENGG.NS,71.88,4812585,100354539520,
HINDUSTAN CONSTRUC,HCC.NS,26.02,4743929,47519027200,
MOTHERSON SUMI WRNG IND L,MSUMI.NS,37.1,4619637,246034579456,
EDELWEISS FIN SERV LTD,EDELWEISS.NS,103.35,4582137,97101766656,
IFCI LTD,IFCI.NS,57.16,4413536,154006749184,
KELLTON TECH SOL LTD,KELLTONTEC.NS,28.48,4405411,14070543360,
JYOTI STRUCTURES LTD,JYOTISTRUC.NS,16.84,4379901,20046336000,
ADITYA BIRLA FASHION & RT,ABFRL.NS,72.87,4341526,88608464896,
GATEWAY DISTRIPARKS LTD,GATEWAY.NS,70.84,4244170,35394777088,
MRPL,MRPL.NS,126.11,4206795,221070819328,
JM FINANCIAL LIMITED,JMFINANCIL.NS,157.83,4132707,150911041536,
BAJAJ HOUSING FINANCE LTD,BAJAJHFL.NS,113.87,4109488,948802420736,
CAPRI GLOBAL CAPITAL LTD,CGCL.NS,186.29,4036848,179354779648,
IDBI BANK LIMITED,IDBI.NS,92.67,3992277,996424941568,
MAGELLANIC CLOUD LIMITED,MCLOUD.NS,84.4,3803434,49368178688,
MSP STEEL & POWER LTD.,MSPL.NS,34.54,3775271,19627044864,
ORIENT GREEN POWER CO LTD,GREENPOWER.NS,14.04,3076474,16481134592,
FILATEX INDIA LTD,FILATEX.NS,55.38,2951274,24580689920,
CUPID LIMITED,CUPID.NS,150.89,2945909,40540520448,
INDIAN OVERSEAS BANK,IOB.NS,37.56,2927734,723277971456,
DIAMOND POWER INFRA LTD,DIACABS.NS,169.28,2921299,89205653504,
HATHWAY CABLE & DATACOM,HATHWAY.NS,14.98,2897302,26516097024,
B.L.KASHYAP & SON LTD,BLKASHYAP.NS,79.01,2858092,17823787008,
J & K BANK LTD.,J&KBANK.NS,104.12,2844562,114654871552,
MOSCHIP TECHNOLOGIES LTD,MOSCHIP.NS,173.24,2813340,33252726784,
INVENTURE GRO & SEC LTD,INVENTURE.NS,1.52,2718793,1606168704,
JAIN IRRIGATION SYSTEMS,JISLJALEQS.NS,51.2,2614358,37132750848,
AXITA COTTON LIMITED,AXITA.NS,8.81,2606353,3063880192,
KAMDHENU LIMITED,KAMDHENU.NS,30.18,2537595,8492139520,
GMR POW AND URBAN INFRA L,GMRP&UI.NS,109.03,2510452,77938565120,
JAI CORP LIMITED,JAICORPLTD.NS,111.11,2493277,19500359680,
ALLCARGO LOGISTICS LTD,ALLCARGO.NS,34.97,2400775,34367889408,
FEDBANK FINANCIAL SER L,FEDFINA.NS,135.51,2395627,50607968256,
GODHA CABCON INSULAT LTD,GODHA.NS,0.61,2112785,406406400,
GARUDA CONSTRUCT N ENG L,GARUDA.NS,185.86,1908975,17292730368,
EQUITAS SMALL FIN BNK LTD,EQUITASBNK.NS,59.26,1814102,67580100608,
COFFEE DAY ENTERPRISE LTD,COFFEEDAY.NS,35.75,1784921,7552259072,
IRCON INTERNATIONAL LTD,IRCON.NS,177.36,1721789,166809911296,
LEMON TREE HOTELS LTD,LEMONTREE.NS,149.79,1683039,118650601472,
