Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,13.83,290022857,1498384171008,
GTL INFRA.LTD,GTLINFRA.NS,1.28,54777021,16395662336,
IDBI BANK LIMITED,IDBI.NS,86.54,52806414,930512896000,
FINO PAYMENTS BANK LTD,FINOPB.NS,176.4,50655318,14679725056,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.15,38654870,784313792,
ASHOK LEYLAND LTD,ASHOKLEY.NS,155.19,24647361,911563489280,
CANARA BANK,CANBK.NS,125.74,18684820,1140543717376,
CENTRAL BANK OF INDIA,CENTRALBK.NS,32.23,17780417,291726655488,
BCL INDUSTRIES LIMITED,BCLIND.NS,37.79,17209855,11154222080,
HARDWYN INDIA LIMITED,HARDWYN.NS,19.46,16912189,9504925696,
HINDUSTAN CONSTRUCTION CO,HCC.NS,23.03,15970751,60326350848,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.19,15124174,1583473792,
IFCI LTD,IFCI.NS,74.52,14390878,200780283904,
INDIAN OIL CORP LTD,IOC.NS,137.05,14140192,1935315828736,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,113.38,13559553,1197176651776,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,79.27,13420603,682890100736,
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,3.48,13209903,4976368128,
AVENUESAI LIMITED,CCAVENUE.NS,17.82,12789242,62031769600,
INDIABULLS LIMITED,IBULLSLTD.NS,30.9,12388874,69170929664,
INOX WIND LIMITED,INOXWIND.NS,79.05,10274491,136617205760,
ELITECON INTERNATIONAL L,ELITECON.NS,18.47,9399393,0,
IOL CHEM AND PHARMA LTD,IOLCP.NS,173.78,9031338,51009212416,
BHARAT COKING COAL LTD,BHARATCOAL.NS,36.84,8056830,0,
ATAL REALTECH LIMITED,ATALREAL.NS,28.99,7907450,3591752192,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,6.96,7435000,25312499712,
BANK OF INDIA,BANKINDIA.NS,141.87,7245051,645886967808,
IRB INFRA DEV LTD.,IRB.NS,20.19,6919732,243854835712,
FINEOTEX CHEMICAL LIMITED,FCL.NS,35.69,6783100,41561034752,
INDIAN RAILWAY FIN CORP L,IRFC.NS,88.71,6690945,1159307198464,
INDIAN RENEWABLE ENERGY,IREDA.NS,122.08,5421545,342950969344,
GAIL (INDIA) LTD,GAIL.NS,171.51,5005833,1127691845632,
HATHWAY CABLE & DATACOM,HATHWAY.NS,11.28,4933713,19966777344,
INDIAN ENERGY EXC LTD,IEX.NS,117.07,4799942,104110383104,
DELTA CORP LIMITED,DELTACORP.NS,66.25,4456387,17739835392,
ALOK INDUSTRIES LIMITED,ALOKINDS.NS,12.56,3610957,62363418624,
GANGA FORGING LTD,GANGAFO-RE.NS,0.11,3585417,0,
CANARA HSBC LIFE INS CO L,CANHLIFE.NS,146.89,3515038,139176067072,
J & K BANK LTD.,J&KBANK.NS,177.4,3442023,195349757952,
JAYASWAL NECO INDUSTR LTD,JAYNECOIND.NS,90.43,3337102,87807377408,
ANLON HEALTHCARE LIMITED,AHCL.NS,15.05,3276881,7999301120,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,17.5,3158061,41261256704,
ALLCARGO LOGISTICS LTD,ALLCARGO.NS,7.96,3069083,11922316288,
ITC HOTELS LIMITED,ITCHOTELS.NS,182.07,3003173,379247493120,
AVANTEL LIMITED,AVANTEL.NS,180.24,2992373,47891726336,
HEXAGON NUTRITION LIMITED,HEXAGON.NS,76.07,2982799,0,
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.47,2942596,607431872,
FILATEX INDIA LTD,FILATEX.NS,61.69,2862533,27393959936,
EQUITAS SMALL FIN BNK LTD,EQUITASBNK.NS,79.94,2819149,91443077120,
ESSAR SHIPPING LTD,ESSARSHPNG.NS,20.17,2629277,4193030912,
COUNTRY CONDO S LIMITED,COUNCODOS.NS,7.14,2532162,554044672,
