Name,Symbol,Price,Volume,MarketCap,New
PC JEWELLER LTD,PCJEWELLER.NS,13.93,2196154133,135847239680,🚀 New!
VODAFONE IDEA LIMITED,IDEA.NS,15.6,694634746,1690151419904,
IFCI LTD,IFCI.NS,102.51,207763757,276194164736,
JINDAL WORLDWIDE LTD,JINDWORLD.NS,58.52,93829693,58672267264,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,16.79,91405917,115069583360,🚀 New!
GTL INFRA.LTD,GTLINFRA.NS,1.2,69808701,15370934272,
MOTISONS JEWELLERS LTD,MOTISONS.NS,16.77,48804351,19075985408,🚀 New!
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,22.77,47842459,54394937344,
LUMINO INDUSTRIES LIMITED,LUMINO.NS,114.82,44549054,0,🚀 New!
FINEOTEX CHEMICAL LIMITED,FCL.NS,56.66,41997933,65980620800,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.18,36890656,1500133120,
PAISALO DIGITAL LIMITED,PAISALO.NS,79.41,35078213,72592588800,🚀 New!
RADHIKA JEWELTECH LIMITED,RADHIKAJWE.NS,94.28,31904994,11136967680,🚀 New!
HINDUSTAN CONSTRUCTION CO,HCC.NS,23.54,31206256,61662281728,
OLA ELECTRIC MOBILITY LTD,OLAELEC.NS,37.96,28370328,167733116928,🚀 New!
ATAL REALTECH LIMITED,ATALREAL.NS,26.5,27481151,3283250688,
ALOK INDUSTRIES LIMITED,ALOKINDS.NS,7.6,27359909,37735825408,
ANDHRA PAPER LIMITED,ANDHRAPAP.NS,72.2,27335449,14356982784,
MOREPEN LAB. LTD,MOREPENLAB.NS,118.88,21583656,65140736000,🚀 New!
EDELWEISS FIN SERV LTD,EDELWEISS.NS,132.72,21562610,125623681024,
BILLIONBRAINS GARAGE VN L,GROWW.NS,194.73,21416454,1205685714944,
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,1.96,20522684,3323955968,
BRIGHTCOM GROUP LIMITED,BCG.NS,9.62,18035192,19418179584,
PHYSICSWALLAH LIMITED,PWL.NS,129.67,18011749,376159698944,🚀 New!
JAIN IRRIGATION SYSTEMS,JISLJALEQS.NS,32.51,17971534,23846418432,🚀 New!
CHEMPLAST SANMAR LIMITED,CHEMPLASTS.NS,185.53,17814333,29334067200,
AVENUESAI LIMITED,CCAVENUE.NS,15.94,16872867,55487451136,
INDO THAI SEC LTD,INDOTHAI.NS,37.53,16502371,4827040768,
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON.NS,162.0,15658235,1706059366400,🚀 New!
NMDC LTD.,NMDC.NS,83.85,15201091,737193885696,🚀 New!
INOX WIND LIMITED,INOXWIND.NS,75.6,15127115,130654773248,
ALLCARGO LOGISTICS LTD,ALLCARGO.NS,12.67,15105300,18976851968,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.13,13389174,679738560,
BANK OF MAHARASHTRA,MAHABANK.NS,85.0,12266498,653782155264,🚀 New!
MITTAL LIFE STYLE LIMITED,MITTAL.NS,0.92,11565075,408388704,🚀 New!
