Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,9.61,382952201,1041176526848,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,19.2,198426346,131586416640,
ADANI POWER LTD,ADANIPOWER.NS,198.5,94956625,3828012023808,
GTL INFRA.LTD,GTLINFRA.NS,1.26,78476445,16139480064,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.25,77442317,2152968704,
BILLIONBRAINS GARAGE VN L,GROWW.NS,198.34,67863455,1228037423104,
HFCL LIMITED,HFCL.NS,95.49,57335309,146117591040,
INOX WIND LIMITED,INOXWIND.NS,97.9,47572301,169290366976,
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,3.68,42848813,5262366208,
IRCON INTERNATIONAL LTD,IRCON.NS,154.69,41378437,145488379904,
HINDUSTAN CONSTRUCTION CO,HCC.NS,19.09,40862878,50005643264,
CUPID LIMITED,CUPID.NS,103.16,39954093,138715201536,
INDIABULLS LIMITED,IBULLSLTD.NS,17.58,33837211,39262822400,
INDIAN RAILWAY FIN CORP L,IRFC.NS,104.84,32757379,1370102169600,
IFCI LTD,IFCI.NS,61.19,22111239,164865081344,
ASHOK LEYLAND LTD,ASHOKLEY.NS,174.78,21767114,1026632253440,
DISH TV INDIA LTD.,DISHTV.NS,4.08,19716560,7531200000,
BHARAT COKING COAL LTD,BHARATCOAL.NS,35.76,19111579,0,
INDIAN RENEWABLE ENERGY,IREDA.NS,133.01,17120741,373655863296,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,68.53,16348455,589509165056,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,7.82,15414332,28440193024,
CENTRAL MINE P N D INST L,CMPDI.NS,180.87,14611877,0,
JYOTI STRUCTURES LTD,JYOTISTRUC.NS,13.18,14258923,15732438016,
CANARA BANK,CANBK.NS,142.37,13624306,1291388583936,
IND SWIFT LABORATORIES LT,INDSWFTLAB.NS,131.86,13495531,11450268672,
IRB INFRA DEV LTD.,IRB.NS,22.26,13446086,268856279040,
GAIL (INDIA) LTD,GAIL.NS,157.82,13011822,1037679067136,
INDIAN OIL CORP LTD,IOC.NS,145.88,11854492,2060006326272,
AVENUESAI LIMITED,CCAVENUE.NS,15.21,11557250,52946309120,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,96.85,11385858,1022636785664,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,18.78,10307873,44305330176,
ELECTROSTEEL CASTINGS LTD,ELECTCAST.NS,80.75,10010363,49918402560,
JAIN IRRIGATION SYSTEMS,JISLJALEQS.NS,33.01,9913361,24213172224,
ALOK INDUSTRIES LIMITED,ALOKINDS.NS,14.29,9102989,70953287680,
BAJAJ HOUSING FINANCE LTD,BAJAJHFL.NS,91.8,8963935,764571222016,
KELLTON TECH SOL LTD,KELLTONTEC.NS,15.77,8814591,8380252160,
BANK OF INDIA,BANKINDIA.NS,148.1,8805160,674250096640,
INDRAPRASTHA GAS LTD,IGL.NS,169.27,8476667,236978257920,
ORIENT GREEN POWER CO LTD,GREENPOWER.NS,11.03,8340937,12949760000,
BARTRONICS INDIA LIMITED,ASMS.NS,8.84,7925856,2692458496,
IDBI BANK LIMITED,IDBI.NS,75.06,6856267,807153631232,
ASIAN GRANITO IND. LTD.,ASIANTILES.NS,75.16,6744547,22283083776,
HSG & URBAN DEV CORPN LTD,HUDCO.NS,196.91,6501498,394194157568,
JAYASWAL NECO INDUSTR LTD,JAYNECOIND.NS,96.23,6199952,93439164416,
ALLCARGO LOGISTICS LTD,ALLCARGO.NS,9.56,6049104,14318761984,
AWL AGRI BUSINESS LIMITED,AWL.NS,185.01,5809151,239361703936,
ADITYA BIRLA FASHION & RT,ABFRL.NS,64.11,5748857,77982605312,
IOL CHEM AND PHARMA LTD,IOLCP.NS,91.13,5295930,26749161472,
INDIAN ENERGY EXC LTD,IEX.NS,135.81,5227379,120775868416,
AEQUS LIMITED,AEQUS.NS,171.06,4999097,112019349504,
AMIR CHAND JAG KUM (E) L,AMIRCHAND.NS,130.77,4854792,0,
EDELWEISS FIN SERV LTD,EDELWEISS.NS,119.06,4728473,112780967936,
J & K BANK LTD.,J&KBANK.NS,131.25,4659610,144530194432,
CENTRAL BANK OF INDIA,CENTRALBK.NS,36.06,4641366,326393528320,
HARDWYN INDIA LIMITED,HARDWYN.NS,22.42,4468140,10996129792,
BANDHAN BANK LIMITED,BANDHANBNK.NS,174.47,4237752,281067421696,
ATAL REALTECH LIMITED,ATALREAL.NS,25.14,4204812,3114751488,
CESC LTD,CESC.NS,171.49,4017728,227322085376,
JAI BALAJI INDUSTRIES LTD,JAIBALAJI.NS,72.48,3942817,66119987200,
INDIAN OVERSEAS BANK,IOB.NS,34.96,3926823,673210368000,
AVANTEL LIMITED,AVANTEL.NS,160.3,3851723,42593447936,
GAYATRI PROJECTS LTD,GAYAPROJ.NS,19.88,3767209,3768917248,
ITC HOTELS LIMITED,ITCHOTELS.NS,162.52,3760370,338525323264,
INSOLATION ENERGY LIMITED,INA.NS,142.86,3744454,0,
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.48,3685070,623414336,
A B INFRABUILD LIMITED,ABINFRA.NS,16.23,3539659,10367551488,
HATHWAY CABLE & DATACOM,HATHWAY.NS,11.59,3324272,20515510272,
BRIGHTCOM GROUP LIMITED,BCG.NS,9.86,2880417,19921524736,
JM FINANCIAL LIMITED,JMFINANCIL.NS,137.39,2852855,131395747840,
DIAMOND POWER INFRA LTD,DIACABS.NS,149.61,2800025,78840143872,
KNR CONSTRU LTD.,KNRCON.NS,123.92,2698175,34850590720,
DEVYANI INTERNATIONAL LTD,DEVYANI.NS,107.7,2664205,132787609600,
LE TRAVENUES TECHNOLOGY L,IXIGO.NS,178.86,2488997,78373502976,
INOX GREEN ENERGY SER LTD,INOXGREEN.NS,163.03,2458040,65489936384,
GAUDIUM IVF N WOMEN H L,GAUDIUMIVF.NS,96.91,2431485,7053776896,
JAMNA AUTO IND LTD,JAMNAAUTO.NS,128.56,2426403,51396567040,
FINEOTEX CHEMICAL LIMITED,FCL.NS,23.21,2299267,27028064256,
INFOBEAN.NS,INFOBEAN.NS,189.73,2228042,0,
AKME FINTRADE (INDIA) LTD,AFIL.NS,9.81,2212415,4186417152,
DCW LTD,DCW.NS,46.24,2207128,16132923392,
MRS BECTORS FOOD SPE LTD,BECTORFOOD.NS,192.22,2136660,59009732608,
HMA AGRO INDUSTRIES LTD,HMAAGRO.NS,24.84,2090205,12439120896,
B.L.KASHYAP & SON LTD,BLKASHYAP.NS,54.5,2084186,12288790528,
INTEGRA ESSENTIA LIMITED,ESSENTIA.NS,1.41,2077560,1505443712,
INVENTURE GRO & SEC LTD,INVENTURE.NS,1.02,2039236,1071000000,
AKSHAR SPINTEX LIMITED,AKSHAR.NS,0.5,1902830,393734240,
GUJARAT PIPAVAV PORT LTD,GPPL.NS,160.92,1900837,77825064960,
HINDUSTAN OIL EXPLORATION,HINDOILEXP.NS,158.33,1837857,20938080256,
AURI GROW INDIA LIMITED,AURIGROW.NS,0.33,1833608,219859216,
ARFIN INDIA LIMITED,ARFIN.NS,94.73,1809103,15983081472,
JTL INDUSTRIES LIMITED,JTLIND.NS,66.76,1785345,26242129920,
AQYLON NEXUS LIMITED,AQYLON.NS,45.43,1764022,11526979584,
DCX SYSTEMS LIMITED,DCXINDIA.NS,194.91,1727500,21713698816,
ASHOKA BUILDCON LTD,ASHOKA.NS,138.82,1713658,38969999360,
CASTROL INDIA LIMITED,CASTROLIND.NS,182.27,1705377,180287340544,
ARKADE DEVELOPERS LIMITED,ARKADE.NS,117.05,1547439,21731926016,
CAMLIN FINE SCIENCES LTD,CAMLINFINE.NS,106.4,1513656,20438548480,
GRM OVERSEAS LIMITED,GRMOVER.NS,161.69,1496801,33554532352,
VALOR ESTATE LIMITED,DBREALTY.NS,107.09,1464462,58086338560,
GUJ STATE FERT & CHEM LTD,GSFC.NS,174.07,1424877,69362991104,
GMR POW AND URBAN INFRA L,GMRP&UI.NS,109.98,1384073,85896314880,
KESORAM INDUSTRIES LTD,KESORAMIND.NS,10.6,1356146,3293034752,
INDOWIND ENERGY LTD,INDOWIND.NS,10.63,1331483,1711453184,
HILTON METAL FORGING LTD,HILTON.NS,26.02,1319082,1339159680,
FEDBANK FINANCIAL SER L,FEDFINA.NS,146.79,1307003,54936391680,
COFFEE DAY ENTERPRISE LTD,COFFEEDAY.NS,27.94,1286808,5902372864,
GREAVES COTTON LTD.,GREAVESCOT.NS,161.36,1272805,37601280000,
ARISINFRA SOLUTIONS LTD,ARIS.NS,128.46,1239775,10503050240,
EQUITAS SMALL FIN BNK LTD,EQUITASBNK.NS,65.6,1193193,74895532032,
KIRLOSKAR ELECTRIC CO LTD,KECL.NS,138.83,1143593,9234451456,
CONFIDENCE PETRO IND LTD.,CONFIPET.NS,52.68,1108570,17526401024,
DCB BANK LIMITED,DCBBANK.NS,189.83,1106936,61106618368,
DELTA CORP LIMITED,DELTACORP.NS,60.64,1077539,16242293760,
FCS SOFTWARE SOLN. LTD.,FCSSOFT.NS,1.79,1073760,3060100096,
JSW CEMENT LIMITED,JSWCEMENT.NS,125.88,1012920,168499789824,
GUJARAT AMBUJA EXPORTS LT,GAEL.NS,148.22,1011375,67984166912,
ALGOQUANT FINTECH LIMITED,ALGOQUANT.NS,55.47,1011111,15592396800,
GATEWAY DISTRIPARKS LTD,GATEWAY.NS,59.31,968966,29633875968,
JINDAL WORLDWIDE LTD,JINDWORLD.NS,26.63,947438,26699290624,
DWARIKESH SUGAR IND LTD,DWARKESH.NS,47.4,936341,8783290368,
DAM CAPITAL ADVISORS LTD,DAMCAPITAL.NS,158.94,919230,11234833408,
KITEX GARMENTS LTD,KITEX.NS,171.96,897607,34326796288,
GLOBE INTL CARRIERS LTD,GICL.NS,40.47,881508,4530802688,
GUJARAT KIDNEY N SUP SP L,GKSL.NS,112.28,877634,8852519936,
KRITIKA WIRES LIMITED,KRITIKA.NS,6.26,873063,1666912896,
IMAGICAAWORLD ENT LTD,IMAGICAA.NS,49.61,864541,28072386560,
CENTRUM CAPITAL LIMITED,CENTRUM.NS,25.51,854983,13183859712,
DHANLAXMI BANK LIMITED,DHANBANK.NS,26.9,854307,10647463936,
AAREY DRUGS & PHARM LTD,AAREYDRUGS.NS,81.08,836521,2299306752,
SAI SILKS (KALAMANDIR) L,KALAMANDIR.NS,102.39,835441,15087163392,
AEROFLEX ENTERPRISES LTD,AEROENTER.NS,91.98,821422,10401558528,
GK ENERGY LIMITED,GKENERGY.NS,124.78,820144,25307537408,
KAMDHENU LIMITED,KAMDHENU.NS,22.98,819562,6477671424,
