Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,15.06,478501536,1631646121984,
BILLIONBRAINS GARAGE VN L,GROWW.NS,196.24,195069700,1215035080704,🚀 New!
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.99,96338046,1769534080,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,21.78,79050767,52029939712,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.18,70784233,1500133120,
GAJA.NS,GAJA.NS,168.67,64760694,0,🚀 New!
ALLCARGO LOGISTICS LTD,ALLCARGO.NS,13.32,61251868,19950407680,
IDBI BANK LIMITED,IDBI.NS,94.75,57818440,1018790150144,
HINDUSTAN CONSTRUCTION CO,HCC.NS,23.88,57186264,62552895488,
IFCI LTD,IFCI.NS,85.44,54922460,230202212352,
INDO THAI SEC LTD,INDOTHAI.NS,51.16,30273446,6580106752,
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,2.65,24774407,3789475840,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,16.98,23572408,116371726336,
JAIN IRRIGATION SYSTEMS,JISLJALEQS.NS,30.07,19004307,22056652800,
ASHOK LEYLAND LTD,ASHOKLEY.NS,179.05,17865164,0,
GTL INFRA.LTD,GTLINFRA.NS,1.21,16709572,15499025408,
FINEOTEX CHEMICAL LIMITED,FCL.NS,50.58,15927033,58900455424,
CANARA BANK,CANBK.NS,129.45,15128970,1174195798016,
IOL CHEM AND PHARMA LTD,IOLCP.NS,186.01,14972392,54599053312,
IRB INFRA DEV LTD.,IRB.NS,19.46,14162238,235037868032,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,84.4,12651672,727672291328,
CENTRAL BANK OF INDIA,CENTRALBK.NS,30.83,12005769,279054712832,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,98.85,11710488,1043754778624,
FILATEX INDIA LTD,FILATEX.NS,75.19,10801532,33388748800,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.16,10322159,836601344,
BANK OF INDIA,BANKINDIA.NS,145.95,10249384,664461836288,
INTEGRA ESSENTIA LIMITED,ESSENTIA.NS,1.08,8859713,1895705984,
BLUE CLOUD SOFTECH SOLU L,BLUECLOUDS.NS,20.02,8600073,0,
ELITECON INTERNATIONAL L,ELITECON.NS,12.39,8072629,0,
AVANCE TECHNOLOGIES LTD.,AVANCE.NS,0.89,7967203,1763906432,
ATAL REALTECH LIMITED,ATALREAL.NS,34.6,7956349,4286810112,
GUJARAT PIPAVAV PORT LTD,GPPL.NS,169.46,7848305,81955233792,
HORIZON INDUSTRIAL PRKS L,HORIZONIND.NS,56.78,7720991,163691216896,
CONFIDENCE PETRO IND LTD.,CONFIPET.NS,79.69,7543640,26476290048,
INDIAN RAILWAY FIN CORP L,IRFC.NS,85.7,7066882,1119970918400,
INDIAN OIL CORP LTD,IOC.NS,139.48,6512044,0,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,6.14,6405747,24465750016,
INOX WIND LIMITED,INOXWIND.NS,73.2,6356898,126506999808,
DWARIKESH SUGAR IND LTD,DWARKESH.NS,53.75,6188485,9959954432,
GAIL (INDIA) LTD,GAIL.NS,174.49,5862731,1147285667840,
INDIAN RENEWABLE ENERGY,IREDA.NS,118.8,5654606,333736706048,
INDIABULLS LIMITED,IBULLSLTD.NS,27.03,5582692,60579696640,
ARDEE INDUSTRIES LIMITED,ARDEE.NS,55.92,5356455,0,
JAYASWAL NECO INDUSTR LTD,JAYNECOIND.NS,102.23,5276630,99265159168,
DEVYANI INTERNATIONAL LTD,DEVYANI.NS,149.36,5227416,184151883776,
AVENUESAI LIMITED,CCAVENUE.NS,15.28,4848675,53189980160,
HMA AGRO INDUSTRIES LTD,HMAAGRO.NS,20.96,4760582,10496134144,
ELECTROSTEEL CASTINGS LTD,ELECTCAST.NS,77.65,4386303,48002031616,
BHARAT COKING COAL LTD,BHARATCOAL.NS,34.43,4143768,0,
ADITYA BIRLA FASHION & RT,ABFRL.NS,54.52,4108785,66338693120,
INDIAN ENERGY EXC LTD,IEX.NS,122.0,3920964,108494635008,
ALOK INDUSTRIES LIMITED,ALOKINDS.NS,11.28,3810980,56007909376,
INVENTURE GRO & SEC LTD,INVENTURE.NS,0.97,3801374,1018500032,
BANDHAN BANK LIMITED,BANDHANBNK.NS,173.5,3784950,279527849984,
BRIGHTCOM GROUP LIMITED,BCG.NS,9.07,3496707,18307993600,
J & K BANK LTD.,J&KBANK.NS,152.04,3098014,167423770624,
JTL INDUSTRIES LIMITED,JTLIND.NS,81.01,3040497,31843543040,
JM FINANCIAL LIMITED,JMFINANCIL.NS,132.84,3012211,127122554880,
ALLCARGO GLOBAL LIMITED,AGL.NS,14.32,2711366,14073439232,
AASTHA SPINTEX LIMITED,AASTHA.NS,80.34,2532116,0,
FCS SOFTWARE SOLN. LTD.,FCSSOFT.NS,1.51,2452197,2581425152,
WATERWAYS LEISURE TOUR L,CORDELIA.NS,109.5,2446946,79272026112,
ARISINFRA SOLUTIONS LTD,ARIS.NS,147.96,2147593,12102218752,
EMPOWER INDIA LTD.,EMPOWER.NS,2.34,2078514,2723288576,
AKSHAR SPINTEX LIMITED,AKSHAR.NS,0.42,1995736,330736736,
DCW LTD,DCW.NS,46.78,1910179,13807350784,
EDELWEISS FIN SERV LTD,EDELWEISS.NS,127.47,1903581,120654389248,
ORIENT GREEN POWER CO LTD,GREENPOWER.NS,9.53,1742474,11178991616,
ANLON HEALTHCARE LIMITED,AHCL.NS,15.11,1738781,8031191552,
JSW CEMENT LIMITED,JSWCEMENT.NS,124.97,1655339,168752611328,
AQYLON NEXUS LIMITED,AQYLON.NS,23.95,1652410,6076847104,
BCL INDUSTRIES LIMITED,BCLIND.NS,37.69,1639069,11124705280,
CESC LTD,CESC.NS,153.33,1595395,203249713152,
DUCON INFRATECHNOLOGIES L,DUCON.NS,2.35,1582060,1080265216,
INDIAN OVERSEAS BANK,IOB.NS,33.1,1575484,637393108992,
VALOR ESTATE LIMITED,DBREALTY.NS,106.34,1569096,57679536128,
BAJAJ HOUSING FINANCE LTD,BAJAJHFL.NS,84.07,1524980,700190621696,
EQUITAS SMALL FIN BNK LTD,EQUITASBNK.NS,75.23,1480864,86055321600,
GANGA FORGING LIMITED,GANGAFORGE.NS,1.77,1441003,300369472,
HATHWAY CABLE & DATACOM,HATHWAY.NS,10.57,1433815,18710003712,
GMR POW AND URBAN INFRA L,GMRP&UI.NS,95.06,1365329,74243522560,
ALGOQUANT FINTECH LIMITED,ALGOQUANT.NS,64.98,1336028,18265620480,
ASIAN GRANITO IND. LTD.,ASIANTILES.NS,46.72,1310950,13851326464,
ALEMBIC LIMITED,ALEMBICLTD.NS,98.7,1302383,25344364544,
AXITA COTTON LIMITED,AXITA.NS,8.05,1280809,3080521984,
GUJARAT AMBUJA EXPORTS LT,GAEL.NS,173.19,1266847,79437168640,
