Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,10.13,649366698,1098864918528,
BAJAJ HOUSING FINANCE LTD,BAJAJHFL.NS,97.02,439458898,808041578496,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,8.54,333496745,31097501696,
HINDUSTAN CONSTRUCTION CO,HCC.NS,26.56,243769049,48343126016,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,19.17,145621839,131456180224,
YES BANK LIMITED,YESBANK.NS,22.71,140610789,712559034368,🚀 New!
BANK OF MAHARASHTRA,MAHABANK.NS,57.57,103611655,442802798592,🚀 New!
WEBSOL ENERGY SYSTEM LTD,WEBELSOLAR.NS,107.88,70119775,45532205056,🚀 New!
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.36,62374270,3000266240,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,106.63,57492442,1126290817024,
PC JEWELLER LTD,PCJEWELLER.NS,9.96,57213704,72991809536,🚀 New!
PHYSICSWALLAH LIMITED,PWL.NS,136.76,56369816,391091552256,🚀 New!
PROSTARM INFO SYSTEMS LTD,PROSTARM.NS,193.96,52851327,11419316224,🚀 New!
CANARA BANK,CANBK.NS,152.03,42346942,1379011133440,
UNION BANK OF INDIA,UNIONBANK.NS,155.77,41378252,1189086756864,🚀 New!
SUZLON ENERGY LIMITED,SUZLON.NS,53.42,41111096,732488925184,🚀 New!
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,81.98,39166654,704461668352,
ASHOK LEYLAND LTD,ASHOKLEY.NS,160.0,37350355,939816714240,
GTL INFRA.LTD,GTLINFRA.NS,1.32,33969439,16908027904,
MAGELLANIC CLOUD LIMITED,MCLOUD.NS,25.58,32340825,15084644352,🚀 New!
NMDC LTD.,NMDC.NS,76.09,31580927,669319823360,🚀 New!
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON.NS,119.26,31232995,1258722820096,🚀 New!
VAXTEX COTFAB LIMITED,VCL.NS,2.0,27091014,367504448,🚀 New!
PUNJAB NATIONAL BANK,PNB.NS,125.35,26934955,1441534312448,🚀 New!
SUN PHARMA ADV.RES.CO.LTD,SPARC.NS,161.02,26132931,52254470144,🚀 New!
SAGILITY LIMITED,SAGILITY.NS,49.29,25750926,230742687744,🚀 New!
RELIANCE POWER LTD.,RPOWER.NS,38.9,23022232,160917766144,🚀 New!
OLA ELECTRIC MOBILITY LTD,OLAELEC.NS,40.04,22159137,168004075520,🚀 New!
EXCELSOFT TECHNOLOGIES L,EXCELSOFT.NS,103.58,21620247,0,
THE SOUTH INDIAN BANK LTD,SOUTHBANK.NS,39.74,20612399,104001495040,🚀 New!
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.37,18847135,2036463872,
SEPC LIMITED,SEPC.NS,9.02,18082174,17500227584,🚀 New!
RICO AUTO INDUSTRIES LTD,RICOAUTO.NS,122.95,17550178,16674742272,🚀 New!
BILLIONBRAINS GARAGE VN L,GROWW.NS,157.84,17140857,974440497152,
INDIAN ENERGY EXC LTD,IEX.NS,148.54,16663736,132096655360,
BANDHAN BANK LIMITED,BANDHANBNK.NS,149.78,16268579,241573920768,
TATA STEEL LIMITED,TATASTEEL.NS,167.78,15347025,2092526600192,🚀 New!
INDIAN OIL CORP LTD,IOC.NS,162.34,13246040,2292441939968,
JAMNA AUTO IND LTD,JAMNAAUTO.NS,122.38,12436433,48958164992,
STEEL AUTHORITY OF INDIA,SAIL.NS,132.46,11905045,548024483840,🚀 New!
