Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,9.25,468521545,1002173038592,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.21,148575614,1808493696,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,17.2,92675486,117879496704,
THE NEW INDIA ASSU CO LTD,NIACL.NS,155.71,76076814,256824180736,🚀 New!
BILLIONBRAINS GARAGE VN L,GROWW.NS,193.7,72616696,1215195643904,
GTL INFRA.LTD,GTLINFRA.NS,1.2,65817471,15370934272,
HFCL LIMITED,HFCL.NS,84.4,65672602,129147822080,
AURI GROW INDIA LIMITED,AURIGROW.NS,0.31,65437664,206534400,
HINDUSTAN CONSTRUCTION CO,HCC.NS,17.6,64627425,46102638592,
ADANI POWER LTD,ADANIPOWER.NS,175.81,51939107,3390679023616,
IRB INFRA DEV LTD.,IRB.NS,21.66,48442574,261609488384,
ASHOK LEYLAND LTD,ASHOKLEY.NS,178.02,39287682,1045663580160,
INVENTURE GRO & SEC LTD,INVENTURE.NS,0.93,37705936,976500032,
INDIABULLS LIMITED,IBULLSLTD.NS,12.15,28970878,27135567872,
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON.NS,122.16,25370486,1286495141888,🚀 New!
NMDC LTD.,NMDC.NS,85.07,23333771,747919900672,🚀 New!
CANARA BANK,CANBK.NS,140.15,20899045,1271251730432,
INDIAN RAILWAY FIN CORP L,IRFC.NS,100.26,20756631,1310502289408,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,66.21,20087088,569518522368,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,95.25,19061745,1005742456832,
NHPC LTD,NHPC.NS,77.09,17937718,774371672064,🚀 New!
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,8.01,17757644,29131194368,
BANK OF MAHARASHTRA,MAHABANK.NS,70.59,17286641,542946820096,🚀 New!
IDBI BANK LIMITED,IDBI.NS,74.01,16678376,795862564864,
MEESHO LIMITED,MEESHO.NS,163.59,15125933,746633756672,🚀 New!
IFCI LTD,IFCI.NS,57.25,14460959,154482769920,
CUPID LIMITED,CUPID.NS,93.73,14197657,126035058688,
GAIL (INDIA) LTD,GAIL.NS,154.08,14098605,1013088256000,
INDIAN OIL CORP LTD,IOC.NS,142.96,13674547,2018772385792,
AMIR CHAND JAG KUM (E) L,AMIRCHAND.NS,126.09,13224126,0,
ADITYA BIRLA FASHION & RT,ABFRL.NS,60.33,12960684,73384665088,
KWALITY WALL'S (INDIA) L,KWIL.NS,24.85,11438621,58387345408,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,17.77,11423848,41600679936,
INFOBEANS TECHNO. LTD.,INFOBEAN.NS,185.12,11400321,17949130752,
DEVYANI INTERNATIONAL LTD,DEVYANI.NS,108.55,10734717,133835620352,
JYOTI STRUCTURES LTD,JYOTISTRUC.NS,11.92,9983078,14228425728,
ALLCARGO LOGISTICS LTD,ALLCARGO.NS,8.66,9837058,12983221248,
AVENUESAI LIMITED,CCAVENUE.NS,15.14,9740249,52702638080,
BANK OF INDIA,BANKINDIA.NS,147.93,9726294,673476116480,
NMDC STEEL LIMITED,NSLNISP.NS,41.98,9706108,123054637056,🚀 New!
INDIAN RENEWABLE ENERGY,IREDA.NS,123.72,9495493,347558117376,
NBCC (INDIA) LIMITED,NBCC.NS,89.18,9359140,240785997824,🚀 New!
AEQUS LIMITED,AEQUS.NS,143.97,9167631,94279352320,
CONFIDENCE PETRO IND LTD.,CONFIPET.NS,55.97,9146925,18620971008,
HMA AGRO INDUSTRIES LTD,HMAAGRO.NS,23.75,9045560,11893281792,
INDRAPRASTHA GAS LTD,IGL.NS,161.33,8989455,226071216128,
LANDSMILL GREEN LIMITED,LANDSMILL.NS,1.11,8908900,1577218432,
NTPC GREEN ENERGY LIMITED,NTPCGREEN.NS,97.17,8908328,818786402304,🚀 New!
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,3.7,8212859,5290966016,
