Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,14.95,685217699,1619728400384,
GTL INFRA.LTD,GTLINFRA.NS,1.61,177272891,20622669824,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,19.03,90811713,130421325824,
BILLIONBRAINS GARAGE VN L,GROWW.NS,196.09,75371873,1214106304512,
IFCI LTD,IFCI.NS,79.6,69237761,214467411968,
BHARAT COKING COAL LTD,BHARATCOAL.NS,41.72,54015555,0,
BRIGHTCOM GROUP LIMITED,BCG.NS,12.09,53062522,24403929088,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.2,50564123,1666814592,
CANARA BANK,CANBK.NS,135.81,47129437,1231885172736,
HFCL LIMITED,HFCL.NS,187.23,43260067,286511267840,
HINDUSTAN CONSTRUCTION CO,HCC.NS,24.02,41365815,62919622656,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.15,31229370,784313792,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,72.35,28665668,622999240704,
CENTRAL BANK OF INDIA,CENTRALBK.NS,30.38,22918099,274981552128,
AURI GROW INDIA LIMITED,AURIGROW.NS,0.33,22820882,219859216,
ASHOK LEYLAND LTD,ASHOKLEY.NS,145.29,22372990,853412282368,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,102.03,21053139,1077332279296,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,6.74,17500759,24512389120,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,19.75,15800587,46566277120,
FINEOTEX CHEMICAL LIMITED,FCL.NS,40.73,15337807,47430119424,
EQUITAS SMALL FIN BNK LTD,EQUITASBNK.NS,73.95,15163247,84419321856,
CUPID LIMITED,CUPID.NS,137.1,15022019,184352997376,
AVENUESAI LIMITED,CCAVENUE.NS,14.01,14146594,48769085440,
INOX WIND LIMITED,INOXWIND.NS,86.79,14063596,149993766912,
CAMLIN FINE SCIENCES LTD,CAMLINFINE.NS,135.08,13321398,25947736064,
BANK OF INDIA,BANKINDIA.NS,141.46,12701644,644020371456,
JYOTI STRUCTURES LTD,JYOTISTRUC.NS,13.11,11963060,15648880640,
ATAL REALTECH LIMITED,ATALREAL.NS,30.43,11710568,3770162944,
HATHWAY CABLE & DATACOM,HATHWAY.NS,11.08,10895531,19612758016,
INDIAN OIL CORP LTD,IOC.NS,138.26,10640792,1952402374656,
INTEGRA ESSENTIA LTD,ESSEN-RE3.NS,0.03,10408388,0,
ALOK INDUSTRIES LIMITED,ALOKINDS.NS,12.45,8532886,61817241600,
BLUSPRING ENTERPRISES LTD,BLUSPRING.NS,93.35,8350207,13950314496,
IDBI BANK LIMITED,IDBI.NS,73.08,8249792,785785618432,
INDIAN RAILWAY FIN CORP L,IRFC.NS,96.47,8111513,1260718784512,
GAIL (INDIA) LTD,GAIL.NS,167.4,8046425,1100668207104,
DISH TV INDIA LTD.,DISHTV.NS,3.04,7980610,5597419008,
IRB INFRA DEV LTD.,IRB.NS,21.17,7584462,255691259904,
JAIN IRRIGATION SYSTEMS,JISLJALEQS.NS,31.89,7108692,23391641600,
BAJAJ HOUSING FINANCE LTD,BAJAJHFL.NS,84.14,5977629,700773629952,
ADITYA BIRLA LIFES BRAN L,ABLBL.NS,101.55,5901246,123346509824,
EDELWEISS FIN SERV LTD,EDELWEISS.NS,114.67,5783532,108538781696,
DELTA CORP LIMITED,DELTACORP.NS,66.21,5630420,17729124352,
GANESH BENZOPLAST LIMITED,GANESHBE.NS,111.95,5570302,8059215872,
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,3.6,5486104,5147966464,
AQYLON NEXUS LIMITED,AQYLON.NS,60.07,5400480,15241594880,
INDIAN ENERGY EXC LTD,IEX.NS,122.38,5389228,108832563200,
INDIAN RENEWABLE ENERGY,IREDA.NS,123.43,5139210,346743439360,
INDIABULLS LIMITED,IBULLSLTD.NS,23.24,5137079,51903754240,
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.53,5111091,684976320,
INDIAN OVERSEAS BANK,IOB.NS,32.93,5081493,634119520256,
ANLON HEALTHCARE LIMITED,AHCL.NS,13.98,5062948,7430579712,
FILATEX INDIA LTD,FILATEX.NS,51.85,5013530,23024424960,
AEQUS LIMITED,AEQUS.NS,186.95,4525295,122424983552,
GREAVES COTTON LTD.,GREAVESCOT.NS,192.2,4125583,44773265408,
CONFIDENCE PETRO IND LTD.,CONFIPET.NS,77.61,3876254,25785229312,
AKME FINTRADE (INDIA) LTD,AFIL.NS,10.59,3790617,6146965504,
GRM OVERSEAS LIMITED,GRMOVER.NS,152.18,3741816,31580979200,
EXICOM TELE SYSTEMS LTD,EXICOM.NS,133.85,3705770,18615828480,
HARDWYN INDIA LIMITED,HARDWYN.NS,24.41,3640381,11922674688,
A B INFRABUILD LIMITED,ABINFRA.NS,10.44,3578494,6668960768,
ADITYA BIRLA FASHION & RT,ABFRL.NS,60.09,3552056,73116139520,
ITC HOTELS LIMITED,ITCHOTELS.NS,153.18,3493109,319070273536,
INTEGRA ESSENTIA LIMITED,ESSENTIA.NS,1.65,3452584,1865465216,
EMBASSY DEVELOPMENTS LTD,EMBDL.NS,58.59,3128552,81442054144,
JM FINANCIAL LIMITED,JMFINANCIL.NS,121.41,2759010,116124565504,
GMR POW AND URBAN INFRA L,GMRP&UI.NS,108.31,2660201,84592009216,
ALLCARGO LOGISTICS LTD,ALLCARGO.NS,8.8,2594913,13180450816,
