Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,10.73,305666646,1162520690688,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,70.22,90807085,603733622784,
INDIAN RAILWAY FIN CORP L,IRFC.NS,104.56,56876518,1366443032576,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.22,56330705,1833496064,
JAI BALAJI INDUSTRIES LTD,JAIBALAJI.NS,68.24,34306757,62252036096,
CANARA BANK,CANBK.NS,158.93,34092288,1441598537728,
CENTRAL BANK OF INDIA,CENTRALBK.NS,40.25,29851823,364513722368,
GTL INFRA.LTD,GTLINFRA.NS,1.12,29749690,14346205184,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,8.51,27072869,30949621760,
INDIAN OIL CORP LTD,IOC.NS,183.03,24344760,2584610340864,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,14.68,23374160,100667334656,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.15,18291678,825593536,
AURI GROW INDIA LIMITED,AURIGROW.NS,0.28,18261042,186547200,
ADANI POWER LTD,ADANIPOWER.NS,140.54,17857925,2710460170240,
HINDUSTAN CONSTRUCTION CO,HCC.NS,18.05,16510597,47281397760,
JINDAL SAW LIMITED,JINDALSAW.NS,188.21,15624067,119963779072,
BILLIONBRAINS GARAGE VN L,GROWW.NS,164.44,15322415,1015186259968,
KAMDHENU LIMITED,KAMDHENU.NS,21.24,13802033,5991994368,🚀 New!
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,4.08,11902241,5834362368,
BHARAT COKING COAL LTD,BHARATCOAL.NS,33.28,11038268,0,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,102.27,10915285,1079866425344,
IDBI BANK LIMITED,IDBI.NS,113.52,10386990,1220731076608,
AVENUESAI LIMITED,CCAVENUE.NS,17.23,10349355,59977965568,
GAIL (INDIA) LTD,GAIL.NS,170.0,10026692,1117763534848,
INDIAN OVERSEAS BANK,IOB.NS,36.5,9852487,703254626304,
BANK OF INDIA,BANKINDIA.NS,175.58,9775042,799357403136,
J & K BANK LTD.,J&KBANK.NS,112.31,9311745,123673796608,
KWALITY WALL'S (INDIA) L,KWIL.NS,25.74,9211254,60478480384,🚀 New!
IFCI LTD,IFCI.NS,58.37,8906660,157504962560,
HFCL LIMITED,HFCL.NS,70.25,8825809,107495661568,
INOX WIND LIMITED,INOXWIND.NS,95.17,7863133,164569595904,
BANDHAN BANK LIMITED,BANDHANBNK.NS,182.88,7658594,294614466560,
JYOTI STRUCTURES LTD,JYOTISTRUC.NS,12.08,7413722,14419411968,
IRB INFRA DEV LTD.,IRB.NS,41.1,7359831,248202887168,
A B INFRABUILD LIMITED,ABINFRA.NS,18.31,6880717,11696233472,
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.5,6478165,667535296,
JAYASWAL NECO INDUSTR LTD,JAYNECOIND.NS,77.35,6447683,75114913792,
EDELWEISS FIN SERV LTD,EDELWEISS.NS,118.17,6274165,111937904640,
INDIAN RENEWABLE ENERGY,IREDA.NS,125.49,5793390,352530432000,
INDIAN ENERGY EXC LTD,IEX.NS,127.72,5520838,113581432832,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,14.93,5034527,18580086784,
BAJAJ HOUSING FINANCE LTD,BAJAJHFL.NS,87.78,4265107,731089928192,
JAMNA AUTO IND LTD,JAMNAAUTO.NS,143.89,4243145,57514434560,
ALOK INDUSTRIES LIMITED,ALOKINDS.NS,14.5,3988640,71995981824,
ASIAN GRANITO IND. LTD.,ASIANTILES.NS,73.58,3840978,17100274688,
LE TRAVENUES TECHNOLOGY L,IXIGO.NS,165.3,3589471,72431738880,
EXCELSOFT TECHNOLOGIES L,EXCELSOFT.NS,86.82,3413633,9991607296,
ALLCARGO LOGISTICS LTD,ALLCARGO.NS,8.56,3214093,12833300480,
AKME FINTRADE (INDIA) LTD,AFIL.NS,7.19,3189642,3082851072,
COMMERCIAL SYN BAGS LTD,COMSYN.NS,154.46,3135058,6171017216,
JAIPRAKASH ASSOCIATES LTD,JPASSOCIAT.NS,2.99,3103793,7562873856,
EQUITAS SMALL FIN BNK LTD,EQUITASBNK.NS,65.71,3069674,75190583296,
KELLTON TECH SOL LTD,KELLTONTEC.NS,19.87,3031368,10487479296,🚀 New!
GENERIC ENG CONS PROJ LTD,GENCON.NS,47.1,2911285,2700701952,
BRIGHTCOM GROUP LIMITED,BCG.NS,10.45,2906360,21113585664,
HSG & URBAN DEV CORPN LTD,HUDCO.NS,190.45,2811393,381261840384,
ORIENT GREEN POWER CO LTD,GREENPOWER.NS,9.84,2742369,11552643072,
BHANDARI HOSIERY EXP LTD,BHANDARI.NS,3.05,2713319,840848384,
INDIABULLS LIMITED,IBULLSLTD.NS,9.11,2672810,21159139328,
ATAL REALTECH LIMITED,ATALREAL.NS,25.61,2641114,3150957056,
GMR POW AND URBAN INFRA L,GMRP&UI.NS,121.97,2570104,95260712960,
INTEGRA ESSENTIA LIMITED,ESSENTIA.NS,1.28,2556503,1375754752,
DISH TV INDIA LTD.,DISHTV.NS,2.97,2506489,5482270720,
JAIN IRRIGATION SYSTEMS,JISLJALEQS.NS,34.65,2492799,25415794688,
DELPHI WORLD MONEY LTD,DELPHIFX.NS,13.54,2437271,3340811520,
EXCEL REALTY N INFRA LTD,EXCEL.NS,1.13,2372200,1605636736,
CESC LTD,CESC.NS,160.06,2328679,212170801152,
AWL AGRI BUSINESS LIMITED,AWL.NS,190.73,2314223,247257530368,
FINEOTEX CHEMICAL LIMITED,FCL.NS,23.8,2233817,27761217536,
BELRISE INDUSTRIES LTD,BELRISE.NS,184.99,2165808,164618747904,
AKSHAR SPINTEX LIMITED,AKSHAR.NS,0.44,1997298,346486144,
A2Z INFRA ENGINEERING LTD,A2ZINFRA.NS,17.51,1915662,3083858688,
INDRAPRASTHA GAS LTD,IGL.NS,168.89,1911125,236665012224,
HATHWAY CABLE & DATACOM,HATHWAY.NS,10.61,1872684,18780807168,
EMBASSY DEVELOPMENTS LTD,EMBDL.NS,58.79,1835824,81720066048,
DIAMOND POWER INFRA LTD,DIACABS.NS,136.62,1740544,71994785792,
JM FINANCIAL LIMITED,JMFINANCIL.NS,133.59,1739435,127760678912,
JTL INDUSTRIES LIMITED,JTLIND.NS,63.82,1735731,25086470144,
