Name,Symbol,Price,Volume,MarketCap,New
INDIAN ENERGY EXC LTD,IEX.NS,145.02,298400524,194189033472,
VODAFONE IDEA LIMITED,IDEA.NS,7.2,297895785,780069568512,
JAYASWAL NECO INDUSTR LTD,JAYNECOIND.NS,42.06,154259876,40840179712,
TRIDENT LIMITED,TRIDENT.NS,31.49,143904635,160453509120,🚀 New!
YES BANK LIMITED,YESBANK.NS,19.6,76839133,614824542208,🚀 New!
RATTANINDIA POWER LIMITED,RTNPOWER.NS,13.34,70854070,84353892352,🚀 New!
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,20.12,56991185,148016201728,
SUZLON ENERGY LIMITED,SUZLON.NS,63.62,55088477,879158427648,🚀 New!
PC JEWELLER LTD,PCJEWELLER.NS,14.55,49599919,118795509760,🚀 New!
GTL INFRA.LTD,GTLINFRA.NS,1.6,44409382,22531360768,
CANARA BANK,CANBK.NS,110.76,41752919,1012100497408,
OLA ELECTRIC MOBILITY LTD,OLAELEC.NS,41.23,40069926,172440764416,🚀 New!
KELLTON TECH SOL LTD,KELLTONTEC.NS,32.15,38946325,15856477184,
SAGILITY INDIA LIMITED,SAGILITY.NS,43.94,34151387,205697646592,🚀 New!
PAISALO DIGITAL LIMITED,PAISALO.NS,32.52,33525698,29336879104,🚀 New!
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.62,30178183,1054923840,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.64,29632169,5333804544,
FILATEX INDIA LTD,FILATEX.NS,59.39,24911312,27300870144,
NMDC LTD.,NMDC.NS,71.65,24277276,629933932544,🚀 New!
BRIGHTCOM GROUP LIMITED,BCG.NS,13.02,22509502,26281132032,
UJJIVAN SMALL FINANC BANK,UJJIVANSFB.NS,43.32,21987456,86241886208,🚀 New!
VISHAL MEGA MART LIMITED,VMM.NS,139.93,20616850,652265455616,🚀 New!
SAMBHV STEEL TUBES LTD,SAMBHV.NS,132.64,20542867,39085162496,🚀 New!
SEPC LIMITED,SEPC.NS,11.64,20156052,21104601088,🚀 New!
HFCL LIMITED,HFCL.NS,75.94,19065233,115190358016,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,70.7,16651569,552734687232,
UNION BANK OF INDIA,UNIONBANK.NS,136.22,15835841,1090992799744,🚀 New!
STEEL AUTHORITY OF INDIA,SAIL.NS,130.67,15789869,539736342528,🚀 New!
BANDHAN BANK LIMITED,BANDHANBNK.NS,178.19,14315459,290927247360,
BELRISE INDUSTRIES LTD,BELRISE.NS,130.87,13831133,116458455040,
PUNJAB NATIONAL BANK,PNB.NS,108.41,13471952,1266554109952,🚀 New!
ZEE ENTERTAINMENT ENT LTD,ZEEL.NS,123.7,12554907,133096259584,🚀 New!
TATA STEEL LIMITED,TATASTEEL.NS,161.43,12425200,2015211290624,🚀 New!
IRB INFRA DEV LTD.,IRB.NS,46.49,12147828,290513682432,
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON.NS,100.34,11996062,1063583875072,🚀 New!
INDIAN OIL CORP LTD,IOC.NS,146.96,11641687,2109978312704,
NHPC LTD,NHPC.NS,83.48,11489180,838556581888,🚀 New!
BANK OF INDIA,BANKINDIA.NS,113.14,11396845,528383049728,
SBC EXPORTS LIMITED,SBC.NS,17.41,11333231,8290468352,🚀 New!
INDIAN RAILWAY FIN CORP L,IRFC.NS,132.03,11143696,1762323333120,
GAIL (INDIA) LTD,GAIL.NS,183.51,10421819,1239843078144,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.39,10192460,2345097216,
BANK OF MAHARASHTRA,MAHABANK.NS,56.72,9893797,437255634944,
RELIANCE POWER LTD.,RPOWER.NS,56.78,9816604,255691669504,🚀 New!
ALOK INDUSTRIES LIMITED,ALOKINDS.NS,19.95,9781433,99056541696,
DELTA CORP LIMITED,DELTACORP.NS,88.61,9544755,23980347392,
THE SOUTH INDIAN BANK LTD,SOUTHBANK.NS,29.73,9264018,79137398784,🚀 New!
NBCC (INDIA) LIMITED,NBCC.NS,109.25,9244996,300994658304,🚀 New!
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,10.33,9233263,37654192128,
SAI SILKS (KALAMANDIR) L,KALAMANDIR.NS,185.15,7773618,27988938752,
INFIBEAM AVENUES LIMITED,INFIBEAM.NS,16.05,7741212,47236911104,
SAMMAAN CAPITAL LIMITED,SAMMAANCAP.NS,126.68,7662117,102927499264,🚀 New!
BAJAJ HOUSING FINANCE LTD,BAJAJHFL.NS,117.02,7627111,985643024384,
INOX WIND LIMITED,INOXWIND.NS,158.52,7586832,280580423680,
APOLLO MICRO SYSTEMS LTD,APOLLO.NS,171.9,7526657,62101278720,
JYOTI STRUCTURES LTD,JYOTISTRUC.NS,16.95,7443092,21026476032,
PARADEEP PHOSPHATES LTD,PARADEEP.NS,189.27,7270647,154322436096,🚀 New!
JM FINANCIAL LIMITED,JMFINANCIL.NS,168.79,6913502,161390575616,
CENTRAL BANK OF INDIA,CENTRALBK.NS,36.87,6807248,349156671488,
MRPL,MRPL.NS,140.82,6792204,246801154048,🚀 New!
UCO BANK,UCOBANK.NS,30.36,6602131,397333463040,🚀 New!
IDBI BANK LIMITED,IDBI.NS,93.23,6501498,1052184543232,
ASHOK LEYLAND LTD,ASHOKLEY.NS,121.95,6419225,716218433536,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,25.07,6400492,34862338048,
ADITYA BIRLA FASHION & RT,ABFRL.NS,73.77,6387178,92577660928,
SPIC LTD,SPIC.NS,98.63,6332459,20085012480,🚀 New!
CAPRI GLOBAL CAPITAL LTD,CGCL.NS,183.04,6147296,176017670144,
BOMBAY DYEING & MFG. CO L,BOMDYEING.NS,181.91,5930569,37570785280,
CUPID LIMITED,CUPID.NS,147.91,5742951,39692390400,
NATIONAL ALUMINIUM CO LTD,NATIONALUM.NS,193.66,5646421,356590026752,🚀 New!
PATEL ENGINEERING LTD.,PATELENG.NS,39.19,5553935,33044379648,🚀 New!
INDIAN RENEWABLE ENERGY,IREDA.NS,153.25,5484414,460664897536,
