Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,10.55,1175978953,1144425021440,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,8.2,122932843,29859428352,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,19.36,72759216,132759085056,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.35,63797137,2916925440,
HINDUSTAN CONSTRUCTION CO,HCC.NS,26.41,54658836,48070103040,
CANARA BANK,CANBK.NS,146.08,43620096,1325040795648,
BAJAJ HOUSING FINANCE LTD,BAJAJHFL.NS,96.97,38771512,807625228288,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,105.35,36113717,1112770740224,
GTL INFRA.LTD,GTLINFRA.NS,1.3,35675634,16651844608,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.35,31048516,1926384768,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,80.58,23827161,692431355904,
ASHOK LEYLAND LTD,ASHOKLEY.NS,162.71,21301027,955734884352,
CAPITAL INDIA FINANCE LTD,CIFL.NS,35.56,21122032,13894134784,
GAIL (INDIA) LTD,GAIL.NS,170.27,19782210,1119538774016,
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,4.19,18258983,5991661568,
BILLIONBRAINS GARAGE VN L,GROWW.NS,154.79,17341248,955610955776,
EXCELSOFT TECHNOLOGIES L,EXCELSOFT.NS,99.27,13365982,0,
INDIAN OIL CORP LTD,IOC.NS,164.11,11244914,2317436583936,
JAYASWAL NECO INDUSTR LTD,JAYNECOIND.NS,70.0,10680052,68000178176,
ADANI POWER LTD,ADANIPOWER.NS,144.97,10329789,2795702321152,
IDBI BANK LIMITED,IDBI.NS,97.65,9818366,1049972113408,
GANGA FORGING LIMITED,GANGAFORGE.NS,2.85,9568771,384186336,
INDIAN RAILWAY FIN CORP L,IRFC.NS,114.71,9451334,1499088289792,
BANK OF INDIA,BANKINDIA.NS,140.3,9339438,638739283968,
INDIAN ENERGY EXC LTD,IEX.NS,148.89,9223031,132407918592,
HFCL LIMITED,HFCL.NS,68.8,8906291,99216883712,
CENTRAL BANK OF INDIA,CENTRALBK.NS,37.28,7348656,337436213248,
INOX WIND LIMITED,INOXWIND.NS,130.12,6496539,224878297088,
INDIAN RENEWABLE ENERGY,IREDA.NS,136.84,6325365,384544440320,
BANDHAN BANK LIMITED,BANDHANBNK.NS,146.78,6108901,236735348736,
IRB INFRA DEV LTD.,IRB.NS,42.97,5796623,259558834176,
BRIGHTCOM GROUP LIMITED,BCG.NS,11.79,5582946,23798372352,
JSW CEMENT LIMITED,JSWCEMENT.NS,108.02,5174147,144132177920,
INDIAN OVERSEAS BANK,IOB.NS,38.16,5171980,734831509504,
EXCEL REALTY N INFRA LTD,EXCEL.NS,1.29,5155512,1852684544,
INFIBEAM AVENUES LIMITED,INFIBEAM.NS,18.38,5144953,63981137920,
GUJARAT PIPAVAV PORT LTD,GPPL.NS,184.39,5108485,89141485568,
JAMNA AUTO IND LTD,JAMNAAUTO.NS,121.69,5018186,48682135552,
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.57,4863634,760990208,
JYOTI STRUCTURES LTD,JYOTISTRUC.NS,11.19,4105288,13354916864,
BELRISE INDUSTRIES LTD,BELRISE.NS,166.9,3777286,148520828928,
EDELWEISS FIN SERV LTD,EDELWEISS.NS,109.16,3587712,103275225088,
AURI GROW INDIA LIMITED,AURIGROW.NS,0.52,3486549,346444800,
JM FINANCIAL LIMITED,JMFINANCIL.NS,149.14,3322038,142627930112,
EMBASSY DEVELOPMENTS LTD,EMBDL.NS,73.91,3242465,102737371136,
