Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,14.19,233049601,1537387659264,
AVENUESAI LIMITED,CCAVENUE.NS,18.1,57077395,63006457856,
CANARA BANK,CANBK.NS,128.78,40695807,1168118513664,
IFCI LTD,IFCI.NS,77.46,32124020,208701571072,
GTL INFRA.LTD,GTLINFRA.NS,1.33,25934357,17036119040,
HINDUSTAN CONSTRUCTION CO,HCC.NS,23.89,24652517,62579089408,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,17.02,22030564,116645871616,
INOX WIND LIMITED,INOXWIND.NS,82.61,21339517,142769733632,
ASHOK LEYLAND LTD,ASHOKLEY.NS,157.49,17404560,925073342464,
INSOLATION ENERGY LIMITED,INA.NS,124.93,16435126,27540740096,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,6.9,16193238,25094287360,
BANK OF INDIA,BANKINDIA.NS,144.9,14182742,659681509376,
BANK OF MAHARASHTRA,MAHABANK.NS,84.25,12612546,648013479936,
LLOYDS ENGG WORK LIMITED,LLOYDSENGG.NS,90.6,12449477,129129758720,
CENTRAL BANK OF INDIA,CENTRALBK.NS,32.6,11341047,295075676160,
BHARAT COKING COAL LTD,BHARATCOAL.NS,37.56,10837513,0,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,112.51,10387937,1187990470656,
ATAL REALTECH LIMITED,ATALREAL.NS,29.31,10212340,3631398912,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.19,9981419,1583473792,
IDBI BANK LIMITED,IDBI.NS,82.89,9930662,891266662400,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,80.83,9906203,696329109504,
MASTER TRUST LIMITED,MASTERTR.NS,93.21,9586653,11466320896,
KWALITY WALL'S (INDIA) L,KWIL.NS,32.91,8805503,77325049856,
J & K BANK LTD.,J&KBANK.NS,192.65,8798887,212142800896,
INDIAN RAILWAY FIN CORP L,IRFC.NS,89.9,7960906,1174858760192,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.15,7694124,784313792,
EQUITAS SMALL FIN BNK LTD,EQUITASBNK.NS,82.24,7238465,94074028032,
IRB INFRA DEV LTD.,IRB.NS,20.29,7215896,245062631424,
INDIAN OIL CORP LTD,IOC.NS,138.96,6883652,1962287431680,
FINEOTEX CHEMICAL LIMITED,FCL.NS,36.99,6388110,43074887680,
INDIAN ENERGY EXC LTD,IEX.NS,119.64,6344070,106395885568,
INDIAN RENEWABLE ENERGY,IREDA.NS,126.4,5386162,355086860288,
ADITYA BIRLA FASHION & RT,ABFRL.NS,60.02,5195126,73030967296,
AWL AGRI BUSINESS LIMITED,AWL.NS,190.0,5194667,245735964672,
HEXAGON NUTRITION LIMITED,HEXAGON.NS,71.75,4886572,0,
FISCHER MEDICAL VENTURE L,FISCHER.NS,38.67,4734052,25310111744,
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.48,4611591,620355904,
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,3.5,4589927,5004967936,
JM FINANCIAL LIMITED,JMFINANCIL.NS,124.61,4175719,119246774272,
FILATEX INDIA LTD,FILATEX.NS,62.25,3942675,27642634240,
ELITECON INTERNATIONAL L,ELITECON.NS,21.1,3832907,0,
BRIGHTCOM GROUP LIMITED,BCG.NS,9.52,3634167,19216328704,
ALLCARGO LOGISTICS LTD,ALLCARGO.NS,7.98,3396963,11952272384,
MEESHO LIMITED,MEESHO.NS,194.11,3380881,897198129152,
MMTC LIMITED,MMTC.NS,65.1,3368242,97649999872,
CONFIDENCE PETRO IND LTD.,CONFIPET.NS,76.45,3328364,25399828480,
INDIABULLS LIMITED,IBULLSLTD.NS,29.63,3243233,66327986176,
GAIL (INDIA) LTD,GAIL.NS,173.73,3236711,1142288547840,
MAGELLANIC CLOUD LIMITED,MCLOUD.NS,29.35,2989308,17289119744,
AVANTEL LIMITED,AVANTEL.NS,180.19,2912680,47878438912,
ARFIN INDIA LIMITED,ARFIN.NS,89.65,2885231,15125970944,
IOL CHEM AND PHARMA LTD,IOLCP.NS,171.06,2852010,50210816000,
GANGAFO-RE.NS,GANGAFO-RE.NS,0.3,2737728,0,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,17.35,2697653,40907591680,
ALOK INDUSTRIES LIMITED,ALOKINDS.NS,12.58,2659493,62462722048,
BAJAJ HOUSING FINANCE LTD,BAJAJHFL.NS,88.07,2544323,733505257472,
CANARA HSBC LIFE INS CO L,CANHLIFE.NS,144.03,2458862,136466251776,
MRS BECTORS FOOD SPE LTD,BECTORFOOD.NS,169.37,2451744,51994996736,
AYE FINANCE LIMITED,AYE.NS,168.82,2422421,41285230592,
FEDBANK FINANCIAL SER L,FEDFINA.NS,159.34,2289356,59737534464,
MADHYA BHARAT AGRO P. LTD,MBAPL.NS,131.25,2217919,57505177600,
JAYASWAL NECO INDUSTR LTD,JAYNECOIND.NS,91.48,2155339,88826929152,
JAMNA AUTO IND LTD,JAMNAAUTO.NS,136.56,2135874,54621966336,
MARSONS LIMITED,MARSONS.NS,118.86,2114275,20455806976,
ITC HOTELS LIMITED,ITCHOTELS.NS,187.19,1986074,389912330240,
ANLON HEALTHCARE LIMITED,AHCL.NS,15.59,1947416,8286319104,
JSW CEMENT LIMITED,JSWCEMENT.NS,138.22,1943399,185388236800,
COMMERCIAL SYN BAGS LTD,COMSYN.NS,193.94,1821394,7823384576,
INDIAN OVERSEAS BANK,IOB.NS,34.58,1771707,665892945920,
ASIAN GRANITO IND. LTD.,ASIANTILES.NS,48.84,1745868,14479853568,
ORIENT GREEN POWER CO LTD,GREENPOWER.NS,10.16,1695985,11918002176,
DEVYANI INTERNATIONAL LTD,DEVYANI.NS,112.47,1690422,138668736512,
3I INFOTECH LIMITED,3IINFOLTD.NS,18.77,1658175,3892968704,
CAMLIN FINE SCIENCES LTD,CAMLINFINE.NS,128.53,1617911,24689534976,
HI-TECH PIPES LIMITED,HITECH.NS,86.93,1559088,17621600256,
ESAF SMALL FINANCE BANK L,ESAFSFB.NS,35.73,1532897,18434957312,
EXICOM TELE SYSTEMS LTD,EXICOM.NS,170.04,1496242,23649124352,
DHANLAXMI BANK LIMITED,DHANBANK.NS,34.75,1468622,13715784704,
EMPOWER INDIA LTD.,EMPOWER.NS,2.14,1453688,0,
BHANSALI ENG. POLYMERS LT,BEPL.NS,103.14,1452839,25667262464,
JTL INDUSTRIES LIMITED,JTLIND.NS,78.04,1444978,30676090880,
INTEGRA ESSENTIA LIMITED,ESSENTIA.NS,1.23,1443693,2158998272,
CESC LTD,CESC.NS,163.93,1437840,217300746240,
DIGITIDE SOLUTIONS LTD,DIGITIDE.NS,108.19,1436881,16132297728,
KAMDHENU LIMITED,KAMDHENU.NS,33.02,1400762,9307777024,
MAN INFRA LTD,MANINFRA.NS,104.65,1334252,42243698688,
HARDWYN INDIA LIMITED,HARDWYN.NS,24.72,1239153,12074089472,
EDELWEISS FIN SERV LTD,EDELWEISS.NS,120.14,1213474,113716314112,
GUJARAT PIPAVAV PORT LTD,GPPL.NS,154.3,1210160,74623467520,
GMR POW AND URBAN INFRA L,GMRP&UI.NS,98.73,1201853,77109862400,
JYOTI STRUCTURES LTD,JYOTISTRUC.NS,11.71,1167378,13977757696,
A B INFRABUILD LIMITED,ABINFRA.NS,10.28,1156335,6566754816,
IRCON INTERNATIONAL LTD,IRCON.NS,131.36,1128915,123546140672,
ARKADE DEVELOPERS LIMITED,ARKADE.NS,132.56,1119382,24611567616,
AKSHAR SPINTEX LIMITED,AKSHAR.NS,0.43,1088233,338611456,
BLUSPRING ENTERPRISES LTD,BLUSPRING.NS,113.04,1066680,16892808192,
ALGOQUANT FINTECH LIMITED,ALGOQUANT.NS,58.96,1045327,16573421568,
EMBASSY DEVELOPMENTS LTD,EMBDL.NS,66.24,997397,92075810816,
GUJARAT AMBUJA EXPORTS LT,GAEL.NS,154.29,986682,70768295936,
KOTHARI INDUSTRIAL CORP L,KOTIC.NS,183.22,983063,0,
GANGA FORGING LIMITED,GANGAFORGE.NS,2.21,965742,375037600,
AASTHA SPINTEX LIMITED,AASTHA.NS,122.88,957677,0,
ASHOKA BUILDCON LTD,ASHOKA.NS,131.59,954024,36940369920,
MIRZA INTERNATIONAL LIMIT,MIRZAINT.NS,39.86,932858,5508727808,
DELTA CORP LIMITED,DELTACORP.NS,64.99,915169,17402443776,
ELECTRONICS MART IND LTD,EMIL.NS,134.36,904750,51694845952,
AMIR CHAND JAG KUM (E) L,AMIRCHAND.NS,177.11,903908,0,
GVK POW. & INFRA LTD.,GVKPIL.NS,2.49,896743,3932233728,
HIMATSINGKA SEIDE LTD,HIMATSEIDE.NS,86.67,895028,10898083840,
LE MERITE EXPORTS LIMITED,LEMERITE.NS,22.69,873012,2840061952,
KNR CONSTRU LTD.,KNRCON.NS,129.05,855716,36293324800,
CENTRUM CAPITAL LIMITED,CENTRUM.NS,24.57,844157,11658647552,
LEMON TREE HOTELS LTD,LEMONTREE.NS,118.41,837326,93762682880,
CASTROL INDIA LIMITED,CASTROLIND.NS,183.84,835362,181840248832,
JAY BHARAT MARUTI LTD,JAYBARMARU.NS,187.77,835183,20326103040,
GUJ STATE FERT & CHEM LTD,GSFC.NS,160.9,793626,64115032064,
JTEKT INDIA LIMITED,JTEKTINDIA.NS,144.9,774687,40194809856,
DCB BANK LIMITED,DCBBANK.NS,188.67,751006,60766351360,
GK ENERGY LIMITED,GKENERGY.NS,143.53,750736,29110362112,
COUNTRY CONDO S LIMITED,COUNCODOS.NS,5.86,735436,454720160,
HATHWAY CABLE & DATACOM,HATHWAY.NS,11.03,729446,19524251648,
INDRAPRASTHA GAS LTD,IGL.NS,154.06,689253,215684235264,
GRAUER & WEIL IND LTD,GRAUWEIL.NS,81.07,659536,36758069248,
ADITYA BIRLA LIFES BRAN L,ABLBL.NS,95.55,628512,116058685440,
BEST AGROLIFE LIMITED,BESTAGRO.NS,15.5,597925,5497402368,
AJMERA REALTY & INF I LTD,AJMERA.NS,134.67,591693,26502469632,
DCW LTD,DCW.NS,49.0,591092,14462595072,
INVENTURE GRO & SEC LTD,INVENTURE.NS,0.91,569764,955500032,
KSHITIJ POLYLINE LIMITED,KSHITIJPOL.NS,3.2,560287,284801536,
CSM TECHNOLOGIES LIMITED,CSM.NS,100.31,544371,5176344064,
GLOBAL SURFACES LIMITED,GSLSU.NS,38.99,541911,1652467072,
GUJARAT KIDNEY N SUP SP L,GKSL.NS,132.55,539098,10450672640,
ELECTROSTEEL CASTINGS LTD,ELECTCAST.NS,77.27,535207,47767121920,
INFOBEANS TECHNO. LTD.,INFOBEAN.NS,163.28,525258,15831537664,
AQYLON NEXUS LIMITED,AQYLON.NS,39.13,523217,9928476672,
FINOLEX INDUSTRIES LTD,FINPIPE.NS,169.44,509473,104767111168,
KELLTON TECH SOL LTD,KELLTONTEC.NS,15.36,500354,8162375680,
AEROFLEX ENTERPRISES LTD,AEROENTER.NS,124.97,497555,14142130176,
GAYATRI PROJECTS LTD,GAYAPROJ.NS,20.98,491834,9740992512,
HOUSING DEV & INFRA LTD,HDIL.NS,1.69,486471,801066816,
FCS SOFTWARE SOLN. LTD.,FCSSOFT.NS,1.5,485359,2564329728,
DISH TV INDIA LTD.,DISHTV.NS,2.98,481520,5486943232,
KRISHANA PHOSCHEM LIMITED,KRISHANA.NS,140.2,480003,43341144064,
EXXARO TILES LIMITED,EXXARO.NS,6.55,477967,2930540032,
M K PROTEINS LIMITED,MKPL.NS,4.58,476969,1727700608,
AARVI ENCON LIMITED,AARVI.NS,155.24,466049,2299213056,
AKME FINTRADE (INDIA) LTD,AFIL.NS,9.75,464761,4287561984,
GHCL TEXTILES LIMITED,GHCLTEXTIL.NS,109.35,459890,10452304896,
INOX GREEN ENERGY SER LTD,INOXGREEN.NS,191.66,456025,76949962752,
KAMDHENU VENTURES LIMITED,KAMOPAINTS.NS,4.9,448987,1612099968,
DELPHI WORLD MONEY LTD,DELPHIFX.NS,8.8,447127,2158356480,
LLOYDS ENTERPRISES LTD,LLOYDSENT.NS,78.18,440581,119345831936,
DEN NETWORKS LTD,DEN.NS,29.19,430558,13916797952,
GATEWAY DISTRIPARKS LTD,GATEWAY.NS,58.71,430215,29334089728,
ADITYA BIRLA MONEY LTD,BIRLAMONEY.NS,149.9,429356,8470728704,
DJ MEDIAPRINT & LOG LTD,DJML.NS,113.33,424726,4071861760,
GRM OVERSEAS LIMITED,GRMOVER.NS,97.58,394149,20250177536,
LANDSMILL GREEN LIMITED,LANDSMILL.NS,0.78,373157,1100342144,
INDIA PESTICIDES LIMITED,IPL.NS,157.4,370487,18126735360,
GENERIC ENG CONS PROJ LTD,GENCON.NS,41.61,361204,2371196672,
COFFEE DAY ENTERPRISE LTD,COFFEEDAY.NS,31.93,360595,6745267200,
INDO FARM EQUIPMENT LTD,INDOFARM.NS,157.33,356248,7559958528,
GTL LTD,GTL.NS,7.36,355987,1157704320,
GAUDIUM IVF N WOMEN H L,GAUDIUMIVF.NS,124.27,353712,9045225472,
DISHMAN CARBO AMCIS LTD,DCAL.NS,195.85,343172,30705969152,
GAYATRI HIGHWAYS LIMITED,GAYAHWS.NS,1.83,341954,438563008,
BOMBAY DYEING & MFG. CO L,BOMDYEING.NS,127.76,338400,26386898944,
HINDUSTAN OIL EXPLORATION,HINDOILEXP.NS,153.69,334269,20324470784,
CAPITAL INDIA FINANCE LTD,CIFL.NS,22.34,330521,8736197632,
MAN COAT METAL & IND LTD,MANAKCOAT.NS,123.02,329751,13118119936,
BCL INDUSTRIES LIMITED,BCLIND.NS,34.24,326575,10106392576,
GEOJIT FINANCIAL SER L,GEOJITFSL.NS,79.4,323675,22162296832,
IMAGICAAWORLD ENT LTD,IMAGICAA.NS,46.56,321857,26346510336,
MITTAL LIFE STYLE LIMITED,MITTAL.NS,0.91,319617,403949696,
FUTURE ENTERPRISES LTD,FEL.NS,0.36,317469,177949840,
KESORAM INDUSTRIES LTD,KESORAMIND.NS,10.37,314375,3221582080,
AVRO INDIA LIMITED,AVROIND.NS,9.79,313660,1313538048,
GREENPANEL INDUSTRIES LTD,GREENPANEL.NS,190.63,313614,23376459776,
MEP INFRA. DEVELOPERS LTD,MEP.NS,0.64,311254,117405472,
KITEX GARMENTS LTD,KITEX.NS,153.35,310040,30593327104,
BALAJI TELEFILMS LIMITED.,BALAJITELE.NS,92.29,307487,11250362368,
HT MEDIA LIMITED,HTMEDIA.NS,25.41,301752,5877842432,
CONS. CONST. CONSORT LTD,CCCL.NS,16.23,300680,7250905600,
ADVANCE AGROLIFE LIMITED,ADVANCE.NS,110.49,300228,7102928896,
FEDDERS HOLDING LTD.,FEDDERSHOL.NS,44.15,296425,0,
DWARIKESH SUGAR IND LTD,DWARKESH.NS,42.62,288920,7897548288,
DUCON INFRATECHNOLOGIES L,DUCON.NS,3.04,286522,987773824,
B.L.KASHYAP & SON LTD,BLKASHYAP.NS,55.26,278917,12460156928,
GRADIENTE INFOTAINMENT L,GRADIENTE.NS,3.6,272790,1196640000,
FABTECH TECHNOLOGIES LTD,FABTECH.NS,160.02,271713,7113015808,
DIGISPICE TECHNOLOGIES LT,DIGISPICE.NS,20.07,257496,4186667520,
HEMISPHERE PROP IND LTD,HEMIPROP.NS,138.93,253626,39612379136,
SRI LOTUS DEVLPRS N RTY L,LOTUSDEV.NS,145.42,251630,71070203904,
EXCELSOFT TECHNOLOGIES L,EXCELSOFT.NS,79.31,248043,9127324672,
GUJ IND POW CO. LTD,GIPCL.NS,164.05,246898,25463175168,
BODHI TREE MULTIMEDIA LTD,BTML.NS,6.34,232554,1151963904,
SRI HAVISHA HOSP & INFR L,HAVISHA.NS,1.12,227859,171960112,
VALOR ESTATE LIMITED,DBREALTY.NS,114.27,225770,61980819456,
BODAL CHEMICALS LTD,BODALCHEM.NS,58.12,223274,7319868928,
JAIN IRRIGATION SYSTEMS,JISLJALEQS.NS,32.03,221871,23494332416,
BHANDARI HOSIERY EXP LTD,BHANDARI.NS,2.94,219665,978891968,
GARUDA CONSTRUCT N ENG L,GARUDA.NS,177.18,218919,16485135360,
JAI CORP LIMITED,JAICORPLTD.NS,111.23,218322,19521421312,
GLOBE ENTERPRISE (I) LTD,GLOBE.NS,2.15,216638,968400448,
