Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,12.97,963736517,1405209149440,
YES BANK LIMITED,YESBANK.NS,22.19,96777154,696444911616,🚀 New!
GTL INFRA.LTD,GTLINFRA.NS,1.37,94722263,17548482560,
DAVANGERE SUGAR COMPANY L,DAVANGERE.NS,3.81,92859298,5448264704,
HFCL LIMITED,HFCL.NS,151.59,91809376,231972667392,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,8.27,83308615,30076778496,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,17.86,71655119,122402783232,
SUZLON ENERGY LIMITED,SUZLON.NS,53.47,70921946,733367042048,🚀 New!
BILLIONBRAINS GARAGE VN L,GROWW.NS,189.91,66954266,1175842455552,
TEXMACO RAIL & ENG. LTD.,TEXRAIL.NS,125.26,64631135,50963857408,🚀 New!
BHARAT COKING COAL LTD,BHARATCOAL.NS,35.62,61489311,0,
OLA ELECTRIC MOBILITY LTD,OLAELEC.NS,36.0,59610728,151127785472,🚀 New!
STEEL AUTHORITY OF INDIA,SAIL.NS,199.08,50034188,822304964608,🚀 New!
RELIANCE POWER LTD.,RPOWER.NS,27.86,49161947,115222577152,🚀 New!
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.24,46463055,2000177408,
ASHOK LEYLAND LTD,ASHOKLEY.NS,154.34,43382211,906570694656,
NMDC LTD.,NMDC.NS,93.21,39810135,819485278208,🚀 New!
VISHAL MEGA MART LIMITED,VMM.NS,117.78,36876195,550412746752,🚀 New!
IFCI LTD,IFCI.NS,65.1,35248678,175399845888,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,68.54,34526788,590013923328,
PC JEWELLER LTD,PCJEWELLER.NS,8.51,32574186,82636652544,🚀 New!
HINDUSTAN CONSTRUCTION CO,HCC.NS,21.96,32135940,57523515392,
CANARA BANK,CANBK.NS,130.84,27948021,1186804006912,
PINE LABS LIMITED,PINELABS.NS,155.71,25372386,178798116864,🚀 New!
AURI GROW INDIA LIMITED,AURIGROW.NS,0.32,23820460,213196800,
SAGILITY LIMITED,SAGILITY.NS,42.92,22146435,200922611712,🚀 New!
SAMMAAN CAPITAL LIMITED,SAMMAANCAP.NS,143.13,21308700,164026875904,🚀 New!
PNB GILTS LIMITED,PNBGILTS.NS,80.45,20142159,14481814528,🚀 New!
SEPC LIMITED,SEPC.NS,7.56,19813731,14708080640,🚀 New!
DIAMOND POWER INFRA LTD,DIACABS.NS,191.99,19532222,101173182464,
RATTANINDIA POWER LIMITED,RTNPOWER.NS,9.32,18756663,50049384448,🚀 New!
INDIAN RAILWAY FIN CORP L,IRFC.NS,100.19,18302752,1309333651456,
WIPRO LTD,WIPRO.NS,188.3,18276329,1974346055680,🚀 New!
LLOYDS ENGG WORK LIMITED,LLOYDSENGG.NS,71.89,16911782,102462898176,🚀 New!
PAISALO DIGITAL LIMITED,PAISALO.NS,46.29,16695769,42104643584,🚀 New!
PUNJAB NATIONAL BANK,PNB.NS,104.62,16117010,1202391744512,🚀 New!
INDIAN OIL CORP LTD,IOC.NS,140.26,14512259,1980644851712,
NBCC (INDIA) LIMITED,NBCC.NS,95.49,14440098,257822998528,🚀 New!
BANK OF MAHARASHTRA,MAHABANK.NS,78.5,14340732,603787034624,🚀 New!
AVENUESAI LIMITED,CCAVENUE.NS,13.98,14049395,48664653824,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,17.78,13972087,41921437696,
MEESHO LIMITED,MEESHO.NS,190.84,13702400,875468554240,🚀 New!
NMDC STEEL LIMITED,NSLNISP.NS,45.18,13540145,132404772864,🚀 New!
PHYSICSWALLAH LIMITED,PWL.NS,112.6,13128622,322001371136,🚀 New!
SHREE RENUKA SUGARS LTD,RENUKA.NS,24.32,13039413,51764871168,🚀 New!
UNION BANK OF INDIA,UNIONBANK.NS,164.9,12816353,1258781540352,🚀 New!
TOURISM FINANCE CORP. OF,TFCILTD.NS,76.92,12561564,35612209152,🚀 New!
KESORAM INDUSTRIES LTD,KESORAMIND.NS,12.94,12549568,4019987456,
