Name,Symbol,Price,Volume,MarketCap,New
VODAFONE IDEA LIMITED,IDEA.NS,14.46,486264834,1566640308224,
FILATEX FASHIONS LIMITED,FILATFASH.NS,0.18,93921350,1500133120,
GTL INFRA.LTD,GTLINFRA.NS,1.38,62915558,17676574720,
JAIPRAKASH POWER VEN. LTD,JPPOWER.NS,17.67,47326914,121100623872,
CANARA BANK,CANBK.NS,125.52,44827427,1138548146176,
EASY TRIP PLANNERS LTD,EASEMYTRIP.NS,6.9,43561837,25094287360,
GMR AIRPORTS LIMITED,GMRAIRPORT.NS,112.09,37517118,1183555518464,
IDFC FIRST BANK LIMITED,IDFCFIRSTB.NS,79.49,30153420,684785336320,
IFCI LTD,IFCI.NS,74.88,26686923,201750249472,
DHARAN INFRA-EPC LIMITED,DHARAN.NS,0.16,26351282,836601344,
HINDUSTAN CONSTRUCTION CO,HCC.NS,25.65,24277630,67189354496,
CUPID LIMITED,CUPID.NS,189.93,21743940,255391399936,
ASHOK LEYLAND LTD,ASHOKLEY.NS,157.7,21645028,926306861056,
INDIAN RAILWAY FIN CORP L,IRFC.NS,90.53,21356894,1183091785728,
INDIAN OIL CORP LTD,IOC.NS,139.38,19010051,1968218308608,
AVENUESAI LIMITED,CCAVENUE.NS,16.49,13088672,57402011648,
IDBI BANK LIMITED,IDBI.NS,83.53,12473026,898148139008,
CENTRAL BANK OF INDIA,CENTRALBK.NS,32.53,12246420,294442074112,
BHARAT COKING COAL LTD,BHARATCOAL.NS,39.33,11682183,0,
GAIL (INDIA) LTD,GAIL.NS,173.46,10136098,1140513308672,
FISCHER MEDICAL VENTURE L,FISCHER.NS,41.72,9841208,27306385408,
INOX WIND LIMITED,INOXWIND.NS,90.12,9130097,155748794368,
AURI GROW INDIA LIMITED,AURIGROW.NS,0.29,9094804,193209600,
IOL CHEM AND PHARMA LTD,IOLCP.NS,145.29,8735932,42646609920,
EMPOWER INDIA LTD.,EMPOWER.NS,2.46,8327094,0,
ATAL REALTECH LIMITED,ATALREAL.NS,28.19,8257572,3492635392,
GACM TECHNOLOGIES LIMITED,GATECH.NS,0.48,8248961,620355904,
INDIABULLS LIMITED,IBULLSLTD.NS,27.81,7386921,62253838336,
EXICOM TELE SYSTEMS LTD,EXICOM.NS,170.83,7376850,23758997504,
IRB INFRA DEV LTD.,IRB.NS,21.42,7276778,258710765568,
BANK OF INDIA,BANKINDIA.NS,140.4,7172138,639194497024,
BAJAJ HINDUSTHAN SUGAR LT,BAJAJHIND.NS,17.65,7153760,41614925824,
CONFIDENCE PETRO IND LTD.,CONFIPET.NS,73.14,6760974,24300109824,
INDIAN RENEWABLE ENERGY,IREDA.NS,128.69,6155144,361520005120,
FINEOTEX CHEMICAL LIMITED,FCL.NS,38.8,6034778,45182631936,
BEST AGROLIFE LIMITED,BESTAGRO.NS,15.43,5457017,5472575488,
HARDWYN INDIA LIMITED,HARDWYN.NS,24.05,4939470,11746838528,
INDIAN ENERGY EXC LTD,IEX.NS,125.13,4453063,111278145536,
ITC HOTELS LIMITED,ITCHOTELS.NS,179.99,4248908,374914908160,
AVANTEL LIMITED,AVANTEL.NS,179.12,4041871,47594127360,
